i Llama2 Gemma2B Mamba
1 100.0000000000 100.0000000000 100.0000000000
2 98.0468750000 100.0000000000 100.0000000000
3 99.6093750000 100.0000000000 99.6093750000
4 99.6093750000 99.6093750000 99.2187500000
5 99.6093750000 99.2187500000 82.4218750000
6 100.0000000000 98.8281250000 97.6562500000
7 99.6093750000 98.4375000000 95.3125000000
8 99.6093750000 98.4375000000 96.4843750000
9 100.0000000000 98.0468750000 93.7254943848
10 100.0000000000 98.0468750000 97.2440948486
11 100.0000000000 98.0468750000 95.6521759033
12 99.6093750000 97.6562500000 95.2569198608
13 99.2187500000 97.6562500000 96.8379440308
14 99.2156829834 97.6562500000 96.4426879883
15 99.2156829834 97.6562500000 94.4444427490
16 98.8235321045 97.6562500000 92.8571395874
17 98.8235321045 97.6562500000 94.8412704468
18 99.2156829834 97.6562500000 92.4603195190
19 99.2126007080 97.2656250000 93.2539672852
20 99.2126007080 97.2656250000 92.0634918213
21 99.2126007080 96.8750000000 94.8412704468
22 99.2126007080 96.8750000000 93.2539672852
23 99.2126007080 96.8750000000 94.4444427490
24 99.2094879150 96.8750000000 93.2539672852
25 98.8142318726 96.8750000000 91.6666717529
26 98.8142318726 96.8750000000 91.6666717529
27 98.4189758301 96.8750000000 90.0398406982
28 98.4126968384 96.8750000000 91.6334686279
29 98.4126968384 96.0937500000 90.0398406982
30 98.4126968384 96.0937500000 89.2430267334
31 98.4126968384 96.0937500000 90.0398406982
32 98.4126968384 96.0937500000 88.4462203979
33 98.4126968384 95.7031250000 89.6414337158
34 98.4126968384 95.7031250000 88.4000015259
35 98.4126968384 95.3125000000 89.6000061035
36 98.4126968384 95.3125000000 88.4000015259
37 98.4063720703 94.9218750000 87.1999969482
38 98.0079727173 94.9218750000 88.4000015259
39 98.0079727173 94.5312500000 86.7999954224
40 98.0079727173 94.1406250000 86.4000015259
41 98.0000000000 94.1406250000 87.5999984741
42 98.0000000000 94.1406250000 86.4000015259
43 97.9919662476 94.1406250000 86.3453826904
44 97.9919662476 94.1406250000 86.3453826904
45 97.9919662476 94.1406250000 84.6774215698
46 97.9838714600 94.1406250000 83.8709640503
47 97.9838714600 94.1406250000 85.0806503296
48 97.9838714600 92.9687500000 85.4838714600
49 97.9757080078 92.9687500000 84.6153869629
50 97.9674835205 92.9687500000 83.8056716919
51 97.9674835205 92.9687500000 84.6153869629
52 97.5609741211 92.9687500000 82.9959487915
53 97.5510177612 92.5781250000 83.3333282471
54 97.5510177612 92.1875000000 83.7398376465
55 97.5510177612 92.1875000000 82.9268264771
56 97.5510177612 91.7968750000 82.5203247070
57 97.1428604126 91.7968750000 81.7073135376
58 97.1311416626 91.4062500000 81.6326522827
59 97.5206604004 91.0156250000 80.4081649780
60 97.5103759766 91.0156250000 80.0000000000
61 97.5103759766 90.6250000000 79.9180297852
62 97.5103759766 90.6250000000 79.3388442993
63 97.0954360962 90.1960754395 80.1652908325
64 97.0954360962 89.8039245605 78.0083007812
65 97.5103759766 89.8039245605 78.3333358765
66 97.5103759766 89.8039245605 79.5833358765
67 97.0954360962 89.4117660522 78.7500000000
68 97.0954360962 89.4117660522 78.2426757812
69 97.0833358765 89.0196075439 77.3109283447
70 97.0711288452 88.9763793945 77.9661026001
71 97.0711288452 88.9763793945 76.6949157715
72 97.0711288452 88.5826797485 76.2711868286
73 97.0588226318 88.5826797485 76.1702117920
74 97.0588226318 87.7952728271 76.1702117920
75 96.6244659424 87.7952728271 76.0683746338
76 96.6244659424 87.3015899658 76.0683746338
77 96.6244659424 87.3015899658 75.2136764526
78 96.6244659424 86.9047622681 74.3589782715
79 96.6244659424 86.8525924683 73.9316253662
