condition,length,total_rollouts,eligible_rollouts,survival_percentage,canonical_rollouts,noncanonical_rollouts,canonical_percentage,canonical_ci95_low,canonical_ci95_high
unconditional,32,64,64,100.0,62,2,96.875,89.3027082290417,99.13878616538281
unconditional,64,64,63,98.4375,60,3,95.23809523809524,86.90903216209392,98.36738311320045
unconditional,128,64,62,96.875,59,3,95.16129032258064,86.71196207267606,98.34083141494193
unconditional,256,64,57,89.0625,54,3,94.73684210526316,85.63044960283645,98.19397043663383
unconditional,512,64,46,71.875,43,3,93.47826086956522,82.49725891809578,97.75721385707115
unconditional,1024,64,13,20.3125,12,1,92.3076923076923,66.68604907890041,98.62895787574435
unconditional,2048,64,0,0.0,0,0,,,
wikitext,32,1600,1598,99.875,1589,9,99.43679599499374,,
wikitext,64,1600,1593,99.5625,1576,17,98.93283113622097,,
wikitext,128,1600,1573,98.3125,1537,36,97.71137952956134,,
wikitext,256,1600,1437,89.8125,1352,85,94.0848990953375,,
wikitext,512,1600,937,58.5625,832,105,88.7940234791889,,
wikitext,1024,1600,274,17.125,222,52,81.02189781021897,,
wikitext,2048,1600,67,4.1875,56,11,83.58208955223881,,
