context_id,sample_index,generated_tokens,termination,noncanonical_prefixes,segment_count,first_segment_start,last_segment_end,longest_segment
unconditional,0,1130,special_token:0,1110,1,21,1130,1110
unconditional,1,269,special_token:0,1,1,220,220,1
unconditional,2,58,special_token:0,5,5,5,46,1
unconditional,3,1538,special_token:0,1531,1,8,1538,1531
unconditional,4,1948,special_token:0,1364,35,4,1948,1330
unconditional,5,51,special_token:0,0,0,,,0
unconditional,6,2048,max_length,2017,2,6,2048,2016
unconditional,7,466,special_token:0,10,10,43,453,1
unconditional,8,1301,special_token:0,1022,3,58,1301,1020
unconditional,9,1456,special_token:0,813,8,55,1456,806
unconditional,10,1184,special_token:0,648,11,41,1184,638
unconditional,11,68,special_token:0,0,0,,,0
unconditional,12,771,special_token:0,81,19,23,771,63
unconditional,13,172,special_token:0,39,1,134,172,39
unconditional,14,872,special_token:0,799,3,13,872,797
unconditional,15,2048,max_length,1436,11,32,2048,1426
unconditional,16,374,special_token:0,16,16,14,330,1
unconditional,17,2048,max_length,1452,3,32,2048,1450
unconditional,18,171,special_token:0,3,3,45,120,1
unconditional,19,40,special_token:0,1,1,6,6,1
unconditional,20,2048,max_length,1894,2,95,2048,1893
unconditional,21,184,special_token:0,0,0,,,0
unconditional,22,450,special_token:0,12,12,16,447,1
unconditional,23,898,special_token:0,13,13,9,867,1
unconditional,24,565,special_token:0,302,7,10,565,296
unconditional,25,143,special_token:0,6,6,7,125,1
unconditional,26,757,special_token:0,118,11,47,757,108
unconditional,27,509,special_token:0,135,1,375,509,135
unconditional,28,878,special_token:0,486,1,393,878,486
unconditional,29,149,special_token:0,0,0,,,0
unconditional,30,309,special_token:0,6,1,304,309,6
unconditional,31,436,special_token:0,7,7,37,353,1
unconditional,32,174,special_token:0,17,16,9,136,2
unconditional,33,1889,special_token:0,1364,3,243,1889,1362
unconditional,34,2048,max_length,1774,4,66,2048,1771
unconditional,35,175,special_token:0,1,1,4,4,1
unconditional,36,587,special_token:0,476,6,4,587,471
unconditional,37,908,special_token:0,319,6,4,908,314
unconditional,38,552,special_token:0,465,4,4,552,462
unconditional,39,191,special_token:0,180,1,12,191,180
unconditional,40,1690,special_token:0,1637,3,12,1690,1635
unconditional,41,214,special_token:0,0,0,,,0
unconditional,42,72,special_token:0,66,1,7,72,66
unconditional,43,2048,max_length,1966,2,11,2048,1965
unconditional,44,288,special_token:0,6,6,4,239,1
unconditional,45,628,special_token:0,525,1,104,628,525
unconditional,46,417,special_token:0,1,1,403,403,1
unconditional,47,487,special_token:0,362,2,58,487,361
unconditional,48,2048,max_length,2042,1,7,2048,2042
unconditional,49,609,special_token:0,462,5,12,609,458
unconditional,50,1795,special_token:0,1434,11,4,1795,1424
unconditional,51,1530,special_token:0,238,13,33,1530,226
unconditional,52,853,special_token:0,655,3,10,853,653
unconditional,53,296,special_token:0,68,1,229,296,68
unconditional,54,2048,max_length,226,32,34,2048,195
unconditional,55,1053,special_token:0,1036,1,18,1053,1036
unconditional,56,413,special_token:0,288,5,3,413,284
unconditional,57,65,special_token:0,3,3,8,50,1
unconditional,58,1312,special_token:0,1234,3,4,1312,1232
unconditional,59,923,special_token:0,11,11,100,867,1
unconditional,60,1180,special_token:0,804,6,225,1180,799
unconditional,61,2048,max_length,1057,13,7,2048,1045
unconditional,62,790,special_token:0,605,5,45,790,601
unconditional,63,1772,special_token:0,436,31,24,1772,406
