context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
unconditional,1,64,64,0,64,0,100.0,94.33759402071946,100.0
unconditional,2,64,64,0,64,0,100.0,94.33759402071946,100.0
unconditional,3,64,64,0,63,1,98.4375,91.66589839990573,99.72364580766624
unconditional,4,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
unconditional,5,64,64,0,63,1,98.4375,91.66589839990573,99.72364580766624
unconditional,6,64,64,0,62,2,96.875,89.3027082290417,99.13878616538281
unconditional,7,64,64,0,60,4,93.75,85.00251490779132,97.54287986033819
unconditional,8,64,64,0,60,4,93.75,85.00251490779132,97.54287986033819
unconditional,9,64,64,0,59,5,92.1875,82.9804626458371,96.61688230914496
unconditional,10,64,64,0,59,5,92.1875,82.9804626458371,96.61688230914496
unconditional,11,64,64,0,59,5,92.1875,82.9804626458371,96.61688230914496
unconditional,12,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
unconditional,13,64,64,0,59,5,92.1875,82.9804626458371,96.61688230914496
unconditional,14,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
unconditional,15,64,64,0,60,4,93.75,85.00251490779132,97.54287986033819
unconditional,16,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
unconditional,17,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
unconditional,18,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
unconditional,19,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
unconditional,20,64,64,0,59,5,92.1875,82.9804626458371,96.61688230914496
unconditional,21,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
unconditional,22,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
unconditional,23,64,64,0,55,9,85.9375,75.38371825842297,92.42142744396914
unconditional,24,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
unconditional,25,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
unconditional,26,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
unconditional,27,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
unconditional,28,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
unconditional,29,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
unconditional,30,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
unconditional,31,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
unconditional,32,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
unconditional,33,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
unconditional,34,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
unconditional,35,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
unconditional,36,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
unconditional,37,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
unconditional,38,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
unconditional,39,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
unconditional,40,64,64,0,55,9,85.9375,75.38371825842297,92.42142744396914
unconditional,41,64,63,1,54,9,85.71428571428571,75.02543407837413,92.2980516652793
unconditional,42,64,63,1,56,7,88.88888888888889,78.79534424991748,94.51245133761628
unconditional,43,64,63,1,54,9,85.71428571428571,75.02543407837413,92.2980516652793
unconditional,44,64,63,1,55,8,87.3015873015873,76.89296552173035,93.42267514386326
unconditional,45,64,63,1,54,9,85.71428571428571,75.02543407837413,92.2980516652793
unconditional,46,64,63,1,52,11,82.53968253968254,71.37857247924102,89.96060342053211
unconditional,47,64,63,1,53,10,84.12698412698413,73.18842321822746,91.14290760348584
unconditional,48,64,63,1,55,8,87.3015873015873,76.89296552173035,93.42267514386326
unconditional,49,64,63,1,56,7,88.88888888888889,78.79534424991748,94.51245133761628
unconditional,50,64,63,1,53,10,84.12698412698413,73.18842321822746,91.14290760348584
unconditional,51,64,63,1,56,7,88.88888888888889,78.79534424991748,94.51245133761628
unconditional,52,64,62,2,54,8,87.09677419354838,76.55067270982637,93.31412194071696
unconditional,53,64,62,2,55,7,88.70967741935483,78.48025794735823,94.42213647060002
unconditional,54,64,62,2,55,7,88.70967741935483,78.48025794735823,94.42213647060002
unconditional,55,64,62,2,53,9,85.48387096774194,74.65660628844542,92.17058859468298
unconditional,56,64,62,2,54,8,87.09677419354838,76.55067270982637,93.31412194071696
unconditional,57,64,62,2,54,8,87.09677419354838,76.55067270982637,93.31412194071696
unconditional,58,64,62,2,52,10,83.87096774193549,72.79366398602257,90.99593112969092
unconditional,59,64,61,3,53,8,86.88524590163935,76.19811980700653,93.20192272509989
unconditional,60,64,61,3,53,8,86.88524590163935,76.19811980700653,93.20192272509989
unconditional,61,64,61,3,53,8,86.88524590163935,76.19811980700653,93.20192272509989
unconditional,62,64,61,3,53,8,86.88524590163935,76.19811980700653,93.20192272509989
unconditional,63,64,61,3,53,8,86.88524590163935,76.19811980700653,93.20192272509989
unconditional,64,64,61,3,53,8,86.88524590163935,76.19811980700653,93.20192272509989
unconditional,65,64,61,3,52,9,85.24590163934427,74.2767647052789,92.03883149206723
unconditional,66,64,60,4,49,11,81.66666666666667,70.08024625353194,89.44220311080237
unconditional,67,64,60,4,51,9,85.0,73.88541093022145,91.90255941983226
unconditional,68,64,60,4,52,8,86.66666666666667,75.83484032350039,93.08589051941303
unconditional,69,64,59,5,50,9,84.7457627118644,73.48201621622644,91.76153600140353
unconditional,70,64,59,5,50,9,84.7457627118644,73.48201621622644,91.76153600140353
unconditional,71,64,59,5,51,8,86.44067796610169,75.46033919346272,92.96582532746629
unconditional,72,64,59,5,50,9,84.7457627118644,73.48201621622644,91.76153600140353
unconditional,73,64,58,6,50,8,86.20689655172414,75.07409056616204,92.84151298028188
unconditional,74,64,58,6,51,7,87.93103448275862,77.12064595403912,94.02903395175927
unconditional,75,64,58,6,51,7,87.93103448275862,77.12064595403912,94.02903395175927
unconditional,76,64,58,6,50,8,86.20689655172414,75.07409056616204,92.84151298028188
unconditional,77,64,58,6,50,8,86.20689655172414,75.07409056616204,92.84151298028188
unconditional,78,64,58,6,49,9,84.48275862068965,73.0660191401075,91.61550804698196
unconditional,79,64,58,6,50,8,86.20689655172414,75.07409056616204,92.84151298028188
unconditional,80,64,58,6,49,9,84.48275862068965,73.0660191401075,91.61550804698196
unconditional,81,64,58,6,48,10,82.75862068965517,71.09174349067378,90.3557073370612
unconditional,82,64,58,6,48,10,82.75862068965517,71.09174349067378,90.3557073370612
unconditional,83,64,58,6,49,9,84.48275862068965,73.0660191401075,91.61550804698196
unconditional,84,64,58,6,45,13,77.58620689655173,65.33888236108129,86.40633938859025
unconditional,85,64,58,6,48,10,82.75862068965517,71.09174349067378,90.3557073370612
unconditional,86,64,58,6,46,12,79.3103448275862,67.2307820785166,87.74851603050945
unconditional,87,64,58,6,46,12,79.3103448275862,67.2307820785166,87.74851603050945
unconditional,88,64,58,6,48,10,82.75862068965517,71.09174349067378,90.3557073370612
unconditional,89,64,58,6,46,12,79.3103448275862,67.2307820785166,87.74851603050945
unconditional,90,64,58,6,48,10,82.75862068965517,71.09174349067378,90.3557073370612
unconditional,91,64,58,6,47,11,81.03448275862068,69.14762612950078,89.06574833887973
unconditional,92,64,58,6,47,11,81.03448275862068,69.14762612950078,89.06574833887973
unconditional,93,64,58,6,47,11,81.03448275862068,69.14762612950078,89.06574833887973
unconditional,94,64,58,6,47,11,81.03448275862068,69.14762612950078,89.06574833887973
unconditional,95,64,58,6,44,14,75.86206896551724,63.47001974698658,85.0411256433305
unconditional,96,64,58,6,47,11,81.03448275862068,69.14762612950078,89.06574833887973
unconditional,97,64,58,6,47,11,81.03448275862068,69.14762612950078,89.06574833887973
unconditional,98,64,58,6,47,11,81.03448275862068,69.14762612950078,89.06574833887973
unconditional,99,64,58,6,47,11,81.03448275862068,69.14762612950078,89.06574833887973
unconditional,100,64,58,6,46,12,79.3103448275862,67.2307820785166,87.74851603050945
unconditional,101,64,58,6,47,11,81.03448275862068,69.14762612950078,89.06574833887973
unconditional,102,64,58,6,46,12,79.3103448275862,67.2307820785166,87.74851603050945
unconditional,103,64,58,6,47,11,81.03448275862068,69.14762612950078,89.06574833887973
unconditional,104,64,58,6,44,14,75.86206896551724,63.47001974698658,85.0411256433305
unconditional,105,64,58,6,44,14,75.86206896551724,63.47001974698658,85.0411256433305
unconditional,106,64,58,6,46,12,79.3103448275862,67.2307820785166,87.74851603050945
unconditional,107,64,58,6,46,12,79.3103448275862,67.2307820785166,87.74851603050945
unconditional,108,64,58,6,45,13,77.58620689655173,65.33888236108129,86.40633938859025
unconditional,109,64,58,6,45,13,77.58620689655173,65.33888236108129,86.40633938859025
unconditional,110,64,58,6,46,12,79.3103448275862,67.2307820785166,87.74851603050945
unconditional,111,64,58,6,46,12,79.3103448275862,67.2307820785166,87.74851603050945
unconditional,112,64,58,6,46,12,79.3103448275862,67.2307820785166,87.74851603050945
unconditional,113,64,58,6,44,14,75.86206896551724,63.47001974698658,85.0411256433305
unconditional,114,64,58,6,45,13,77.58620689655173,65.33888236108129,86.40633938859025
