context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
__pooled__,1,64,64,0,64,0,100.0,94.33759402071946,100.0
__pooled__,2,64,64,0,64,0,100.0,94.33759402071946,100.0
__pooled__,3,64,64,0,64,0,100.0,94.33759402071946,100.0
__pooled__,4,64,64,0,64,0,100.0,94.33759402071946,100.0
__pooled__,5,64,64,0,63,1,98.4375,91.66589839990573,99.72364580766624
__pooled__,6,64,64,0,63,1,98.4375,91.66589839990573,99.72364580766624
__pooled__,7,64,64,0,63,1,98.4375,91.66589839990573,99.72364580766624
__pooled__,8,64,64,0,62,2,96.875,89.3027082290417,99.13878616538281
__pooled__,9,64,64,0,62,2,96.875,89.3027082290417,99.13878616538281
__pooled__,10,64,64,0,61,3,95.3125,87.10034625990632,98.3930983213707
__pooled__,11,64,64,0,60,4,93.75,85.00251490779132,97.54287986033819
__pooled__,12,64,64,0,60,4,93.75,85.00251490779132,97.54287986033819
__pooled__,13,64,64,0,59,5,92.1875,82.9804626458371,96.61688230914496
__pooled__,14,64,64,0,59,5,92.1875,82.9804626458371,96.61688230914496
__pooled__,15,64,64,0,59,5,92.1875,82.9804626458371,96.61688230914496
__pooled__,16,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
__pooled__,17,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
__pooled__,18,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
__pooled__,19,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,20,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
__pooled__,21,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
__pooled__,22,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
__pooled__,23,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
__pooled__,24,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
__pooled__,25,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
__pooled__,26,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
__pooled__,27,64,64,0,58,6,90.625,81.0171204003544,95.63217474148016
__pooled__,28,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,29,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,30,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,31,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,32,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,33,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,34,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,35,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
__pooled__,36,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,37,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,38,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,39,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,40,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,41,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,42,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,43,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
__pooled__,44,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,45,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,46,64,64,0,55,9,85.9375,75.38371825842297,92.42142744396914
__pooled__,47,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,48,64,64,0,55,9,85.9375,75.38371825842297,92.42142744396914
__pooled__,49,64,64,0,57,7,89.0625,79.10135867310387,94.5998866555832
__pooled__,50,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
__pooled__,51,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
__pooled__,52,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
__pooled__,53,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
__pooled__,54,64,64,0,55,9,85.9375,75.38371825842297,92.42142744396914
__pooled__,55,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
__pooled__,56,64,64,0,55,9,85.9375,75.38371825842297,92.42142744396914
__pooled__,57,64,64,0,55,9,85.9375,75.38371825842297,92.42142744396914
__pooled__,58,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
__pooled__,59,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955
__pooled__,60,64,64,0,55,9,85.9375,75.38371825842297,92.42142744396914
__pooled__,61,64,64,0,55,9,85.9375,75.38371825842297,92.42142744396914
__pooled__,62,64,64,0,54,10,84.375,73.57193822745121,91.2851576617934
__pooled__,63,64,64,0,55,9,85.9375,75.38371825842297,92.42142744396914
__pooled__,64,64,64,0,54,10,84.375,73.57193822745121,91.2851576617934
__pooled__,65,64,64,0,54,10,84.375,73.57193822745121,91.2851576617934
__pooled__,66,64,64,0,54,10,84.375,73.57193822745121,91.2851576617934
