context_id,sample_index,generated_tokens,termination,noncanonical_prefixes,segment_count,first_segment_start,last_segment_end,longest_segment
dataset-001,0,1024,max_length,398,6,259,1024,393
dataset-001,1,1024,max_length,564,1,461,1024,564
dataset-001,2,1024,max_length,565,1,460,1024,565
dataset-001,3,1024,max_length,0,0,,,0
dataset-001,4,1024,max_length,672,1,353,1024,672
dataset-001,5,1024,max_length,550,2,299,1024,549
dataset-001,6,1024,max_length,1015,1,10,1024,1015
dataset-001,7,1024,max_length,18,5,297,1024,14
dataset-001,8,1024,max_length,868,1,157,1024,868
dataset-001,9,1024,max_length,929,1,96,1024,929
dataset-001,10,1024,max_length,949,1,76,1024,949
dataset-001,11,1024,max_length,881,2,62,1024,880
dataset-001,12,1024,max_length,366,1,659,1024,366
dataset-001,13,1024,max_length,622,1,403,1024,622
dataset-001,14,1024,max_length,892,1,133,1024,892
dataset-001,15,943,special_token:0,744,1,200,943,744
dataset-002,0,1024,max_length,833,1,192,1024,833
dataset-002,1,1024,max_length,997,1,28,1024,997
dataset-002,2,1024,max_length,931,1,94,1024,931
dataset-002,3,1024,max_length,503,3,183,1024,500
dataset-002,4,1024,max_length,823,1,202,1024,823
dataset-002,5,1024,max_length,800,1,225,1024,800
dataset-002,6,1024,max_length,1013,1,12,1024,1013
dataset-002,7,779,special_token:0,620,1,160,779,620
dataset-002,8,1024,max_length,777,1,248,1024,777
dataset-002,9,1024,max_length,1020,1,5,1024,1020
dataset-002,10,318,special_token:0,160,1,159,318,160
dataset-002,11,452,special_token:0,327,2,79,452,326
dataset-002,12,1024,max_length,741,1,284,1024,741
dataset-002,13,1024,max_length,297,1,728,1024,297
dataset-002,14,1024,max_length,782,1,243,1024,782
dataset-002,15,1024,max_length,932,1,93,1024,932
dataset-003,0,1024,max_length,1017,1,8,1024,1017
dataset-003,1,204,special_token:0,13,1,192,204,13
dataset-003,2,1024,max_length,835,3,175,1024,833
dataset-003,3,1024,max_length,767,1,258,1024,767
dataset-003,4,1024,max_length,1012,1,13,1024,1012
dataset-003,5,1024,max_length,928,1,97,1024,928
dataset-003,6,763,special_token:0,611,2,11,763,610
dataset-003,7,1024,max_length,916,1,109,1024,916
dataset-003,8,1024,max_length,550,2,449,1024,549
dataset-003,9,1024,max_length,679,2,336,1024,678
dataset-003,10,637,special_token:0,243,12,301,637,231
dataset-003,11,967,special_token:0,829,1,139,967,829
dataset-003,12,1024,max_length,676,6,142,1024,671
dataset-003,13,1024,max_length,736,4,202,1024,733
dataset-003,14,1024,max_length,568,1,457,1024,568
dataset-003,15,1024,max_length,777,1,248,1024,777
dataset-004,0,1024,max_length,1009,1,16,1024,1009
dataset-004,1,1024,max_length,692,1,333,1024,692
dataset-004,2,1024,max_length,426,2,592,1024,425
dataset-004,3,1024,max_length,881,1,144,1024,881
dataset-004,4,1024,max_length,922,1,103,1024,922
dataset-004,5,907,special_token:0,858,1,50,907,858
dataset-004,6,1024,max_length,832,8,19,1024,824
dataset-004,7,1024,max_length,884,3,66,1024,882
dataset-004,8,1024,max_length,910,1,115,1024,910
dataset-004,9,1024,max_length,750,20,54,1024,726
dataset-004,10,1024,max_length,493,2,221,1024,492
dataset-004,11,969,special_token:0,910,1,60,969,910
dataset-004,12,1024,max_length,709,6,171,1024,704
dataset-004,13,715,special_token:0,541,6,46,715,536
dataset-004,14,1024,max_length,637,6,43,1024,632
dataset-004,15,1024,max_length,873,9,64,1024,863
