scope,context_id,segment_count,rollouts,percentage
context,dataset-001,0,1,6.25
context,dataset-001,1,11,68.75
context,dataset-001,2,2,12.5
context,dataset-001,5,1,6.25
context,dataset-001,6,1,6.25
context,dataset-002,1,14,87.5
context,dataset-002,2,1,6.25
context,dataset-002,3,1,6.25
context,dataset-003,1,9,56.25
context,dataset-003,2,3,18.75
context,dataset-003,3,1,6.25
context,dataset-003,4,1,6.25
context,dataset-003,6,1,6.25
context,dataset-003,12,1,6.25
context,dataset-004,1,7,43.75
context,dataset-004,2,2,12.5
context,dataset-004,3,1,6.25
context,dataset-004,6,3,18.75
context,dataset-004,8,1,6.25
context,dataset-004,9,1,6.25
context,dataset-004,20,1,6.25
pooled,,0,1,1.5625
pooled,,1,41,64.0625
pooled,,2,8,12.5
pooled,,3,3,4.6875
pooled,,4,1,1.5625
pooled,,5,1,1.5625
pooled,,6,5,7.8125
pooled,,8,1,1.5625
pooled,,9,1,1.5625
pooled,,12,1,1.5625
pooled,,20,1,1.5625
