context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
dataset-001,1,16,16,0,16,0,100.0,80.63923194655636,100.00000000000003
dataset-001,2,16,16,0,16,0,100.0,80.63923194655636,100.00000000000003
dataset-001,3,16,16,0,16,0,100.0,80.63923194655636,100.00000000000003
dataset-001,4,16,16,0,16,0,100.0,80.63923194655636,100.00000000000003
dataset-001,5,16,16,0,16,0,100.0,80.63923194655636,100.00000000000003
dataset-001,6,16,16,0,16,0,100.0,80.63923194655636,100.00000000000003
dataset-001,7,16,16,0,16,0,100.0,80.63923194655636,100.00000000000003
dataset-001,8,16,16,0,16,0,100.0,80.63923194655636,100.00000000000003
dataset-001,9,16,16,0,16,0,100.0,80.63923194655636,100.00000000000003
dataset-001,10,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,11,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,12,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,13,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,14,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,15,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,16,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,17,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,18,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,19,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,20,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,21,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,22,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,23,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,24,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,25,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,26,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,27,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,28,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,29,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,30,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,31,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,33,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,34,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,35,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,36,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,37,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,38,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,39,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,40,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,41,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,42,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,43,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,44,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,45,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,46,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,47,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,48,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,49,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,50,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,51,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,52,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,53,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,54,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,55,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,56,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,57,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,58,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,59,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,60,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,61,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,62,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-001,63,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,64,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,65,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,66,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,67,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,68,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,69,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,70,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,71,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,72,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,73,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,74,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,75,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-001,76,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-001,77,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-001,78,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-001,79,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
