context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage
unconditional,1,256,256,0,256,0,100.0
unconditional,2,256,256,0,252,4,98.4375
unconditional,3,256,256,0,246,10,96.09375
unconditional,4,256,256,0,204,52,79.6875
unconditional,5,256,256,0,241,15,94.140625
unconditional,6,256,256,0,242,14,94.53125
unconditional,7,256,256,0,243,13,94.921875
unconditional,8,256,256,0,238,18,92.96875
unconditional,9,256,256,0,237,19,92.578125
unconditional,10,256,256,0,237,19,92.578125
unconditional,11,256,256,0,235,21,91.796875
unconditional,12,256,256,0,241,15,94.140625
unconditional,13,256,256,0,230,26,89.84375
unconditional,14,256,256,0,234,22,91.40625
unconditional,15,256,256,0,237,19,92.578125
unconditional,16,256,256,0,235,21,91.796875
unconditional,17,256,256,0,234,22,91.40625
unconditional,18,256,255,1,232,23,90.98039215686275
unconditional,19,256,255,1,230,25,90.19607843137256
unconditional,20,256,255,1,231,24,90.58823529411765
unconditional,21,256,255,1,232,23,90.98039215686275
unconditional,22,256,255,1,230,25,90.19607843137256
unconditional,23,256,255,1,226,29,88.62745098039215
unconditional,24,256,255,1,229,26,89.80392156862744
unconditional,25,256,255,1,230,25,90.19607843137256
unconditional,26,256,255,1,227,28,89.01960784313725
unconditional,27,256,255,1,227,28,89.01960784313725
unconditional,28,256,255,1,225,30,88.23529411764706
unconditional,29,256,255,1,226,29,88.62745098039215
unconditional,30,256,255,1,224,31,87.84313725490196
unconditional,31,256,255,1,221,34,86.66666666666667
unconditional,32,256,255,1,219,36,85.88235294117646
unconditional,33,256,255,1,220,35,86.27450980392157
unconditional,34,256,255,1,216,39,84.70588235294117
unconditional,35,256,254,2,218,36,85.8267716535433
unconditional,36,256,254,2,214,40,84.25196850393701
unconditional,37,256,254,2,215,39,84.64566929133858
unconditional,38,256,253,3,216,37,85.37549407114625
unconditional,39,256,253,3,211,42,83.39920948616601
unconditional,40,256,252,4,210,42,83.33333333333333
unconditional,41,256,251,5,207,44,82.47011952191235
unconditional,42,256,250,6,208,42,83.2
unconditional,43,256,250,6,206,44,82.4
unconditional,44,256,250,6,207,43,82.8
unconditional,45,256,250,6,202,48,80.8
unconditional,46,256,250,6,203,47,81.2
unconditional,47,256,249,7,203,46,81.52610441767068
unconditional,48,256,249,7,206,43,82.73092369477912
unconditional,49,256,249,7,203,46,81.52610441767068
unconditional,50,256,249,7,200,49,80.32128514056225
unconditional,51,256,248,8,203,45,81.85483870967742
unconditional,52,256,247,9,204,43,82.5910931174089
unconditional,53,256,247,9,200,47,80.97165991902834
unconditional,54,256,247,9,203,44,82.18623481781377
unconditional,55,256,247,9,195,52,78.94736842105263
unconditional,56,256,247,9,200,47,80.97165991902834
unconditional,57,256,246,10,200,46,81.30081300813008
unconditional,58,256,245,11,196,49,80.0
unconditional,59,256,242,14,196,46,80.99173553719008
unconditional,60,256,242,14,193,49,79.75206611570248
