model_alias,condition,context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
gemma3-4b-it,unconditional,unconditional,32,64,64,0,62,2,96.875,89.3027082290417,99.13878616538281
gemma3-4b-it,unconditional,unconditional,64,64,63,1,60,3,95.23809523809524,86.90903216209392,98.36738311320045
gemma3-4b-it,unconditional,unconditional,128,64,62,2,59,3,95.16129032258064,86.71196207267606,98.34083141494193
gemma3-4b-it,unconditional,unconditional,256,64,57,7,54,3,94.73684210526316,85.63044960283645,98.19397043663383
gemma3-4b-it,unconditional,unconditional,512,64,46,18,43,3,93.47826086956522,82.49725891809578,97.75721385707115
gemma3-4b-it,unconditional,unconditional,1024,64,13,51,12,1,92.3076923076923,66.68604907890041,98.62895787574435
gemma3-4b-it,unconditional,unconditional,2048,64,0,64,0,0,,,
gemma3-4b-it,wikitext,__pooled__,32,1600,1598,2,1589,9,99.43679599499374,,
gemma3-4b-it,wikitext,__pooled__,64,1600,1593,7,1576,17,98.93283113622097,,
gemma3-4b-it,wikitext,__pooled__,128,1600,1573,27,1537,36,97.71137952956134,,
gemma3-4b-it,wikitext,__pooled__,256,1600,1437,163,1352,85,94.0848990953375,,
gemma3-4b-it,wikitext,__pooled__,512,1600,937,663,832,105,88.7940234791889,,
gemma3-4b-it,wikitext,__pooled__,1024,1600,274,1326,222,52,81.02189781021897,,
gemma3-4b-it,wikitext,__pooled__,2048,1600,67,1533,56,11,83.58208955223881,,
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,32,64,44,20,37,7,84.0909090909091,70.63379493775939,92.07332298779876
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,64,64,44,20,35,9,79.54545454545455,65.49942193889834,88.84674692991871
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,128,64,44,20,34,10,77.27272727272727,63.007641935363665,87.15805240508284
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,256,64,42,22,32,10,76.19047619047619,61.47245613168168,86.51903577535288
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,512,64,41,23,31,10,75.60975609756098,60.65666377742431,86.17499726190967
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,1024,64,36,28,24,12,66.66666666666667,50.33399787115652,79.78538117569468
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,2048,64,31,33,17,14,54.83870967741935,37.77216763735451,70.83826401947998
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,32,1600,1600,0,1578,22,98.625,,
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,64,1600,1600,0,1569,31,98.0625,,
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,128,1600,1598,2,1552,46,97.12140175219024,,
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,256,1600,1584,16,1518,66,95.83333333333333,,
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,512,1600,1540,60,1424,116,92.46753246753246,,
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,1024,1600,1409,191,1239,170,87.9347054648687,,
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,2048,1600,1177,423,958,219,81.39337298215803,,
gemma-2b-it,unconditional,unconditional,32,64,58,6,30,28,51.724137931034484,39.16226178340948,64.07181457594501
gemma-2b-it,unconditional,unconditional,64,64,55,9,28,27,50.90909090909091,38.0762598469722,63.62322215099672
gemma-2b-it,unconditional,unconditional,128,64,44,20,25,19,56.81818181818182,42.22414699362943,70.3172765914822
gemma-2b-it,unconditional,unconditional,256,64,24,40,13,11,54.166666666666664,35.07486535891948,72.108666268789
