context_id,sample_index,generated_tokens,termination,noncanonical_prefixes,segment_count,first_segment_start,last_segment_end,longest_segment
unconditional,0,538,eos_token:1,0,0,,,0
unconditional,1,82,eos_token:1,0,0,,,0
unconditional,2,243,eos_token:1,51,1,193,243,51
unconditional,3,310,eos_token:1,309,1,2,310,309
unconditional,4,232,eos_token:1,0,0,,,0
unconditional,5,380,eos_token:1,379,1,2,380,379
unconditional,6,230,eos_token:1,0,0,,,0
unconditional,7,207,eos_token:1,0,0,,,0
unconditional,8,314,eos_token:1,0,0,,,0
unconditional,9,69,eos_token:1,68,1,2,69,68
unconditional,10,36,eos_token:1,0,0,,,0
unconditional,11,170,eos_token:1,0,0,,,0
unconditional,12,198,eos_token:1,0,0,,,0
unconditional,13,306,eos_token:1,0,0,,,0
unconditional,14,94,eos_token:1,93,1,2,94,93
unconditional,15,9,eos_token:1,0,0,,,0
unconditional,16,294,eos_token:1,293,1,2,294,293
unconditional,17,71,eos_token:1,70,1,2,71,70
unconditional,18,448,eos_token:1,447,1,2,448,447
unconditional,19,308,eos_token:1,307,1,2,308,307
unconditional,20,424,eos_token:1,0,0,,,0
unconditional,21,80,eos_token:1,79,1,2,80,79
unconditional,22,298,eos_token:1,297,1,2,298,297
unconditional,23,194,eos_token:1,0,0,,,0
unconditional,24,129,eos_token:1,128,1,2,129,128
unconditional,25,185,eos_token:1,184,1,2,185,184
unconditional,26,37,eos_token:1,36,1,2,37,36
unconditional,27,246,eos_token:1,245,1,2,246,245
unconditional,28,21,eos_token:1,0,0,,,0
unconditional,29,369,eos_token:1,368,1,2,369,368
unconditional,30,196,eos_token:1,195,1,2,196,195
unconditional,31,21,eos_token:1,0,0,,,0
unconditional,32,496,eos_token:1,0,0,,,0
unconditional,33,15,eos_token:1,0,0,,,0
unconditional,34,254,eos_token:1,253,1,2,254,253
unconditional,35,467,eos_token:1,0,0,,,0
unconditional,36,260,eos_token:1,0,0,,,0
unconditional,37,271,eos_token:1,270,1,2,271,270
unconditional,38,380,eos_token:1,376,1,5,380,376
unconditional,39,324,eos_token:1,0,0,,,0
unconditional,40,377,eos_token:1,0,0,,,0
unconditional,41,490,eos_token:1,0,0,,,0
unconditional,42,152,eos_token:1,0,0,,,0
unconditional,43,165,eos_token:1,164,1,2,165,164
unconditional,44,217,eos_token:1,0,0,,,0
unconditional,45,4,eos_token:1,3,1,2,4,3
unconditional,46,234,eos_token:1,233,1,2,234,233
unconditional,47,452,eos_token:1,0,0,,,0
unconditional,48,79,eos_token:1,78,1,2,79,78
unconditional,49,240,eos_token:1,0,0,,,0
unconditional,50,259,eos_token:1,258,1,2,259,258
unconditional,51,109,eos_token:1,108,1,2,109,108
unconditional,52,244,eos_token:1,243,1,2,244,243
unconditional,53,326,eos_token:1,325,1,2,326,325
unconditional,54,79,eos_token:1,0,0,,,0
unconditional,55,313,eos_token:1,0,0,,,0
unconditional,56,79,eos_token:1,78,1,2,79,78
unconditional,57,55,eos_token:1,0,0,,,0
unconditional,58,332,eos_token:1,0,0,,,0
unconditional,59,68,eos_token:1,67,1,2,68,67
unconditional,60,117,eos_token:1,0,0,,,0
unconditional,61,170,eos_token:1,0,0,,,0
unconditional,62,31,eos_token:1,0,0,,,0
unconditional,63,215,eos_token:1,0,0,,,0
