context_id,sample_index,generated_tokens,termination,noncanonical_prefixes,segment_count,first_segment_start,last_segment_end,longest_segment
document-001,0,281,eos_token:1,0,0,,,0
document-001,1,174,eos_token:1,0,0,,,0
document-001,2,153,eos_token:1,0,0,,,0
document-001,3,233,eos_token:1,0,0,,,0
document-001,4,164,eos_token:1,0,0,,,0
document-001,5,197,eos_token:1,0,0,,,0
document-001,6,114,eos_token:1,0,0,,,0
document-001,7,134,eos_token:1,0,0,,,0
document-001,8,142,eos_token:1,0,0,,,0
document-001,9,235,eos_token:1,0,0,,,0
document-001,10,230,eos_token:1,0,0,,,0
document-001,11,100,eos_token:1,0,0,,,0
document-001,12,208,eos_token:1,0,0,,,0
document-001,13,135,eos_token:1,0,0,,,0
document-001,14,158,eos_token:1,0,0,,,0
document-001,15,308,eos_token:1,0,0,,,0
document-002,0,237,eos_token:1,0,0,,,0
document-002,1,193,eos_token:1,0,0,,,0
document-002,2,151,eos_token:1,0,0,,,0
document-002,3,475,eos_token:1,0,0,,,0
document-002,4,206,eos_token:1,0,0,,,0
document-002,5,292,eos_token:1,0,0,,,0
document-002,6,369,eos_token:1,0,0,,,0
document-002,7,383,eos_token:1,0,0,,,0
document-002,8,276,eos_token:1,0,0,,,0
document-002,9,185,eos_token:1,0,0,,,0
document-002,10,218,eos_token:1,0,0,,,0
document-002,11,285,eos_token:1,0,0,,,0
document-002,12,184,eos_token:1,0,0,,,0
document-002,13,258,eos_token:1,0,0,,,0
document-002,14,182,eos_token:1,0,0,,,0
document-002,15,164,eos_token:1,0,0,,,0
document-003,0,137,eos_token:1,0,0,,,0
document-003,1,94,eos_token:1,0,0,,,0
document-003,2,119,eos_token:1,0,0,,,0
document-003,3,193,eos_token:1,0,0,,,0
document-003,4,73,eos_token:1,0,0,,,0
document-003,5,309,eos_token:1,0,0,,,0
document-003,6,193,eos_token:1,0,0,,,0
document-003,7,111,eos_token:1,0,0,,,0
document-003,8,134,eos_token:1,0,0,,,0
document-003,9,143,eos_token:1,0,0,,,0
document-003,10,200,eos_token:1,0,0,,,0
document-003,11,144,eos_token:1,0,0,,,0
document-003,12,307,eos_token:1,0,0,,,0
document-003,13,339,eos_token:1,0,0,,,0
document-003,14,304,eos_token:1,0,0,,,0
document-003,15,93,eos_token:1,0,0,,,0
document-004,0,125,eos_token:1,0,0,,,0
document-004,1,84,eos_token:1,0,0,,,0
document-004,2,178,eos_token:1,0,0,,,0
document-004,3,118,eos_token:1,0,0,,,0
document-004,4,228,eos_token:1,0,0,,,0
document-004,5,90,eos_token:1,0,0,,,0
document-004,6,90,eos_token:1,0,0,,,0
document-004,7,229,eos_token:1,0,0,,,0
document-004,8,161,eos_token:1,0,0,,,0
document-004,9,290,eos_token:1,0,0,,,0
document-004,10,190,eos_token:1,0,0,,,0
document-004,11,95,eos_token:1,0,0,,,0
document-004,12,30,eos_token:1,0,0,,,0
document-004,13,53,eos_token:1,0,0,,,0
document-004,14,141,eos_token:1,0,0,,,0
document-004,15,404,eos_token:1,0,0,,,0
document-005,0,212,eos_token:1,0,0,,,0
document-005,1,147,eos_token:1,0,0,,,0
document-005,2,255,eos_token:1,0,0,,,0
document-005,3,208,eos_token:1,0,0,,,0
document-005,4,245,eos_token:1,0,0,,,0
document-005,5,149,eos_token:1,0,0,,,0
document-005,6,305,eos_token:1,0,0,,,0
document-005,7,405,eos_token:1,0,0,,,0
document-005,8,139,eos_token:1,0,0,,,0
document-005,9,275,eos_token:1,0,0,,,0
document-005,10,293,eos_token:1,0,0,,,0
document-005,11,232,eos_token:1,0,0,,,0
document-005,12,112,eos_token:1,0,0,,,0
document-005,13,252,eos_token:1,0,0,,,0
document-005,14,281,eos_token:1,0,0,,,0
document-005,15,222,eos_token:1,0,0,,,0
document-006,0,169,eos_token:1,0,0,,,0
document-006,1,299,eos_token:1,0,0,,,0
document-006,2,67,eos_token:1,0,0,,,0
document-006,3,94,eos_token:1,0,0,,,0
document-006,4,177,eos_token:1,0,0,,,0
document-006,5,202,eos_token:1,0,0,,,0
document-006,6,150,eos_token:1,0,0,,,0
document-006,7,86,eos_token:1,0,0,,,0
document-006,8,86,eos_token:1,0,0,,,0
document-006,9,266,eos_token:1,0,0,,,0
document-006,10,103,eos_token:1,0,0,,,0
document-006,11,184,eos_token:1,177,1,8,184,177
document-006,12,141,eos_token:1,0,0,,,0
document-006,13,186,eos_token:1,161,1,26,186,161
document-006,14,119,eos_token:1,0,0,,,0
document-006,15,254,eos_token:1,0,0,,,0
document-007,0,353,eos_token:1,0,0,,,0
document-007,1,59,eos_token:1,0,0,,,0
document-007,2,387,eos_token:1,0,0,,,0
document-007,3,100,eos_token:1,0,0,,,0
document-007,4,193,eos_token:1,0,0,,,0
document-007,5,145,eos_token:1,0,0,,,0
document-007,6,330,eos_token:1,0,0,,,0
document-007,7,125,eos_token:1,0,0,,,0
document-007,8,290,eos_token:1,216,1,75,290,216
document-007,9,194,eos_token:1,0,0,,,0
document-007,10,83,eos_token:1,0,0,,,0
document-007,11,34,eos_token:1,0,0,,,0
document-007,12,218,eos_token:1,0,0,,,0
document-007,13,381,eos_token:1,0,0,,,0
document-007,14,523,eos_token:1,249,1,275,523,249
document-007,15,350,eos_token:1,0,0,,,0
document-008,0,109,eos_token:1,0,0,,,0
document-008,1,83,eos_token:1,0,0,,,0
document-008,2,44,eos_token:1,42,1,3,44,42
document-008,3,100,eos_token:1,0,0,,,0
document-008,4,142,eos_token:1,0,0,,,0
document-008,5,129,eos_token:1,0,0,,,0
document-008,6,66,eos_token:1,65,1,2,66,65
document-008,7,64,eos_token:1,0,0,,,0
document-008,8,50,eos_token:1,0,0,,,0
document-008,9,96,eos_token:1,0,0,,,0
