context_id,sample_index,generated_tokens,termination,noncanonical_prefixes,segment_count,first_segment_start,last_segment_end,longest_segment
document-001,0,570,eos_token:106,0,0,,,0
document-001,1,153,eos_token:106,0,0,,,0
document-001,2,441,eos_token:106,0,0,,,0
document-001,3,390,eos_token:106,222,1,169,390,222
document-001,4,288,eos_token:106,0,0,,,0
document-001,5,524,eos_token:106,0,0,,,0
document-001,6,694,eos_token:106,0,0,,,0
document-001,7,379,eos_token:106,0,0,,,0
document-001,8,695,eos_token:106,0,0,,,0
document-001,9,247,eos_token:106,0,0,,,0
document-001,10,2048,max_length,0,0,,,0
document-001,11,332,eos_token:106,52,1,281,332,52
document-001,12,364,eos_token:106,0,0,,,0
document-001,13,446,eos_token:106,206,1,241,446,206
document-001,14,285,eos_token:106,0,0,,,0
document-001,15,186,eos_token:106,0,0,,,0
document-002,0,432,eos_token:106,0,0,,,0
document-002,1,1299,eos_token:106,0,0,,,0
document-002,2,561,eos_token:106,0,0,,,0
document-002,3,256,eos_token:106,0,0,,,0
document-002,4,1063,eos_token:106,0,0,,,0
document-002,5,599,eos_token:106,204,1,396,599,204
document-002,6,718,eos_token:106,0,0,,,0
document-002,7,2048,max_length,0,0,,,0
document-002,8,976,eos_token:106,0,0,,,0
document-002,9,385,eos_token:106,0,0,,,0
document-002,10,791,eos_token:106,0,0,,,0
document-002,11,565,eos_token:106,0,0,,,0
document-002,12,416,eos_token:106,0,0,,,0
document-002,13,362,eos_token:106,0,0,,,0
document-002,14,2048,max_length,0,0,,,0
document-002,15,2048,max_length,0,0,,,0
document-003,0,662,eos_token:106,0,0,,,0
document-003,1,795,eos_token:106,0,0,,,0
document-003,2,587,eos_token:106,0,0,,,0
document-003,3,1185,eos_token:106,0,0,,,0
document-003,4,1007,eos_token:106,0,0,,,0
document-003,5,2048,max_length,0,0,,,0
document-003,6,600,eos_token:106,0,0,,,0
document-003,7,2048,max_length,0,0,,,0
document-003,8,820,eos_token:106,0,0,,,0
document-003,9,569,eos_token:106,108,1,462,569,108
document-003,10,739,eos_token:106,0,0,,,0
document-003,11,675,eos_token:106,82,1,594,675,82
document-003,12,657,eos_token:106,210,1,448,657,210
document-003,13,692,eos_token:106,0,0,,,0
document-003,14,679,eos_token:106,0,0,,,0
document-003,15,548,eos_token:106,0,0,,,0
document-004,0,532,eos_token:106,0,0,,,0
document-004,1,980,eos_token:106,0,0,,,0
document-004,2,616,eos_token:106,0,0,,,0
document-004,3,366,eos_token:106,0,0,,,0
document-004,4,766,eos_token:106,476,1,291,766,476
document-004,5,944,eos_token:106,291,1,654,944,291
document-004,6,133,eos_token:106,0,0,,,0
document-004,7,687,eos_token:106,0,0,,,0
document-004,8,754,eos_token:106,0,0,,,0
document-004,9,764,eos_token:106,0,0,,,0
document-004,10,779,eos_token:106,0,0,,,0
document-004,11,2048,max_length,0,0,,,0
document-004,12,422,eos_token:106,0,0,,,0
document-004,13,758,eos_token:106,0,0,,,0
document-004,14,570,eos_token:106,49,1,522,570,49
document-004,15,368,eos_token:106,0,0,,,0
document-005,0,796,eos_token:106,0,0,,,0
document-005,1,427,eos_token:106,0,0,,,0
document-005,2,272,eos_token:106,0,0,,,0
document-005,3,780,eos_token:106,0,0,,,0
document-005,4,695,eos_token:106,0,0,,,0
document-005,5,844,eos_token:106,238,1,607,844,238
document-005,6,479,eos_token:106,0,0,,,0
document-005,7,251,eos_token:106,0,0,,,0
document-005,8,435,eos_token:106,47,1,389,435,47
document-005,9,1648,eos_token:106,1,1,230,230,1
document-005,10,189,eos_token:106,0,0,,,0
document-005,11,268,eos_token:106,0,0,,,0
document-005,12,1000,eos_token:106,0,0,,,0
document-005,13,375,eos_token:106,0,0,,,0
document-005,14,373,eos_token:106,0,0,,,0
document-005,15,576,eos_token:106,0,0,,,0
document-006,0,287,eos_token:106,0,0,,,0
document-006,1,722,eos_token:106,0,0,,,0
document-006,2,701,eos_token:106,0,0,,,0
document-006,3,100,eos_token:106,0,0,,,0
document-006,4,197,eos_token:106,0,0,,,0
document-006,5,365,eos_token:106,0,0,,,0
document-006,6,390,eos_token:106,0,0,,,0
document-006,7,289,eos_token:106,0,0,,,0
document-006,8,178,eos_token:106,0,0,,,0
document-006,9,414,eos_token:106,0,0,,,0
