scope,context_id,segment_count,rollouts,percentage
context,document-001,0,13,81.25
context,document-001,1,3,18.75
context,document-002,0,15,93.75
context,document-002,1,1,6.25
context,document-003,0,13,81.25
context,document-003,1,3,18.75
context,document-004,0,13,81.25
context,document-004,1,3,18.75
context,document-005,0,13,81.25
context,document-005,1,3,18.75
context,document-006,0,15,93.75
context,document-006,1,1,6.25
context,document-007,0,14,87.5
context,document-007,1,2,12.5
context,document-008,0,10,62.5
context,document-008,1,6,37.5
context,document-009,0,12,75.0
context,document-009,1,4,25.0
context,document-010,0,14,87.5
context,document-010,1,2,12.5
context,document-011,0,15,93.75
context,document-011,1,1,6.25
context,document-012,0,13,81.25
context,document-012,1,3,18.75
context,document-013,0,14,87.5
context,document-013,1,2,12.5
context,document-014,0,8,50.0
context,document-014,1,8,50.0
context,document-015,0,14,87.5
context,document-015,1,2,12.5
context,document-016,0,14,87.5
context,document-016,1,2,12.5
context,document-017,0,14,87.5
context,document-017,1,2,12.5
context,document-018,0,11,68.75
context,document-018,1,5,31.25
context,document-019,0,4,25.0
context,document-019,1,12,75.0
context,document-020,0,15,93.75
context,document-020,1,1,6.25
context,document-021,0,14,87.5
context,document-021,1,2,12.5
context,document-022,0,8,50.0
context,document-022,1,8,50.0
context,document-023,0,15,93.75
context,document-023,1,1,6.25
context,document-024,0,11,68.75
context,document-024,1,5,31.25
context,document-025,0,11,68.75
context,document-025,1,5,31.25
context,document-026,0,8,50.0
context,document-026,1,8,50.0
context,document-027,0,13,81.25
context,document-027,1,3,18.75
context,document-028,0,16,100.0
context,document-029,0,13,81.25
context,document-029,1,3,18.75
context,document-030,0,14,87.5
context,document-030,1,2,12.5
context,document-031,0,10,62.5
context,document-031,1,6,37.5
context,document-032,0,16,100.0
context,document-033,0,15,93.75
context,document-033,1,1,6.25
context,document-034,0,15,93.75
context,document-034,1,1,6.25
context,document-035,0,15,93.75
context,document-035,1,1,6.25
context,document-036,0,15,93.75
context,document-036,1,1,6.25
context,document-037,0,15,93.75
context,document-037,1,1,6.25
context,document-038,0,14,87.5
context,document-038,1,2,12.5
context,document-039,0,12,75.0
context,document-039,1,4,25.0
context,document-040,0,8,50.0
context,document-040,1,8,50.0
context,document-041,0,14,87.5
context,document-041,1,2,12.5
context,document-042,0,15,93.75
context,document-042,1,1,6.25
context,document-043,0,13,81.25
context,document-043,1,3,18.75
context,document-044,0,7,43.75
context,document-044,1,9,56.25
context,document-045,0,15,93.75
context,document-045,2,1,6.25
context,document-046,0,15,93.75
context,document-046,1,1,6.25
context,document-047,0,15,93.75
context,document-047,1,1,6.25
context,document-048,0,16,100.0
context,document-049,0,13,81.25
context,document-049,1,3,18.75
context,document-050,0,14,87.5
context,document-050,1,2,12.5
context,document-051,0,12,75.0
context,document-051,1,4,25.0
context,document-052,0,8,50.0
context,document-052,1,8,50.0
context,document-053,0,14,87.5
context,document-053,1,2,12.5
context,document-054,0,12,75.0
context,document-054,1,4,25.0
context,document-055,0,13,81.25
context,document-055,1,3,18.75
context,document-056,0,13,81.25
context,document-056,1,2,12.5
context,document-056,2,1,6.25
context,document-057,0,15,93.75
context,document-057,1,1,6.25
context,document-058,0,13,81.25
context,document-058,1,3,18.75
context,document-059,0,14,87.5
context,document-059,1,2,12.5
context,document-060,0,13,81.25
context,document-060,1,3,18.75
context,document-061,0,16,100.0
context,document-062,0,14,87.5
context,document-062,1,2,12.5
context,document-063,0,16,100.0
context,document-064,0,16,100.0
context,document-065,0,16,100.0
context,document-066,0,14,87.5
context,document-066,1,2,12.5
context,document-067,0,13,81.25
context,document-067,1,2,12.5
context,document-067,4,1,6.25
context,document-068,0,10,62.5
context,document-068,1,6,37.5
context,document-069,0,13,81.25
context,document-069,1,3,18.75
context,document-070,0,15,93.75
context,document-070,1,1,6.25
context,document-071,0,13,81.25
context,document-071,1,3,18.75
context,document-072,0,15,93.75
context,document-072,1,1,6.25
context,document-073,0,15,93.75
context,document-073,1,1,6.25
context,document-074,0,11,68.75
context,document-074,1,5,31.25
context,document-075,0,13,81.25
context,document-075,1,3,18.75
context,document-076,0,16,100.0
context,document-077,0,14,87.5
context,document-077,1,2,12.5
context,document-078,0,13,81.25
context,document-078,1,3,18.75
context,document-079,0,12,75.0
context,document-079,1,4,25.0
context,document-080,0,16,100.0
context,document-081,0,15,93.75
context,document-081,1,1,6.25
context,document-082,0,15,93.75
context,document-082,1,1,6.25
context,document-083,0,13,81.25
context,document-083,1,3,18.75
context,document-084,0,16,100.0
context,document-085,0,15,93.75
context,document-085,1,1,6.25
context,document-086,0,14,87.5
context,document-086,1,2,12.5
context,document-087,0,15,93.75
context,document-087,1,1,6.25
context,document-088,0,13,81.25
context,document-088,1,3,18.75
context,document-089,0,14,87.5
context,document-089,1,2,12.5
context,document-090,0,13,81.25
context,document-090,1,3,18.75
context,document-091,0,13,81.25
context,document-091,1,3,18.75
context,document-092,0,15,93.75
context,document-092,1,1,6.25
context,document-093,0,11,68.75
context,document-093,1,5,31.25
context,document-094,0,16,100.0
context,document-095,0,13,81.25
context,document-095,1,3,18.75
context,document-096,0,15,93.75
context,document-096,1,1,6.25
context,document-097,0,15,93.75
context,document-097,1,1,6.25
context,document-098,0,13,81.25
context,document-098,1,3,18.75
context,document-099,0,16,100.0
context,document-100,0,15,93.75
context,document-100,1,1,6.25
pooled,,0,1342,83.875
pooled,,1,255,15.9375
pooled,,2,2,0.125
pooled,,4,1,0.0625
