context_id,sample_index,generated_tokens,termination,noncanonical_prefixes,segment_count,first_segment_start,last_segment_end,longest_segment
unconditional,0,658,eos_token:2,414,1,245,658,414
unconditional,1,176,eos_token:2,0,0,,,0
unconditional,2,1904,eos_token:2,0,0,,,0
unconditional,3,78,eos_token:2,0,0,,,0
unconditional,4,1583,eos_token:2,0,0,,,0
unconditional,5,546,eos_token:2,0,0,,,0
unconditional,6,32,eos_token:2,0,0,,,0
unconditional,7,953,eos_token:2,0,0,,,0
unconditional,8,2048,max_length,0,0,,,0
unconditional,9,44,eos_token:2,0,0,,,0
unconditional,10,611,eos_token:2,359,1,253,611,359
unconditional,11,37,eos_token:2,0,0,,,0
unconditional,12,851,eos_token:2,0,0,,,0
unconditional,13,81,eos_token:2,0,0,,,0
unconditional,14,462,eos_token:2,0,0,,,0
unconditional,15,889,eos_token:2,0,0,,,0
unconditional,16,2048,max_length,1992,1,57,2048,1992
unconditional,17,221,eos_token:2,0,0,,,0
unconditional,18,1015,eos_token:2,0,0,,,0
unconditional,19,2048,max_length,419,3,1611,2048,415
unconditional,20,1113,eos_token:2,725,1,389,1113,725
unconditional,21,1524,eos_token:2,0,0,,,0
unconditional,22,1095,eos_token:2,0,0,,,0
unconditional,23,322,eos_token:2,0,0,,,0
unconditional,24,856,eos_token:2,41,1,816,856,41
unconditional,25,957,eos_token:2,149,1,809,957,149
unconditional,26,1214,eos_token:2,0,0,,,0
unconditional,27,1318,eos_token:2,0,0,,,0
unconditional,28,114,eos_token:2,0,0,,,0
unconditional,29,82,eos_token:2,0,0,,,0
unconditional,30,498,eos_token:2,0,0,,,0
unconditional,31,2048,max_length,1476,1,573,2048,1476
unconditional,32,872,eos_token:2,65,1,808,872,65
unconditional,33,2048,max_length,0,0,,,0
unconditional,34,231,eos_token:2,0,0,,,0
unconditional,35,2048,max_length,0,0,,,0
unconditional,36,1108,eos_token:2,744,1,365,1108,744
unconditional,37,1132,eos_token:2,0,0,,,0
unconditional,38,476,eos_token:2,0,0,,,0
unconditional,39,86,eos_token:2,0,0,,,0
unconditional,40,562,eos_token:2,0,0,,,0
unconditional,41,980,eos_token:2,340,1,641,980,340
unconditional,42,1183,eos_token:2,0,0,,,0
unconditional,43,2048,max_length,2,1,1675,1676,2
unconditional,44,615,eos_token:2,336,1,280,615,336
unconditional,45,773,eos_token:2,13,1,761,773,13
unconditional,46,251,eos_token:2,0,0,,,0
unconditional,47,119,eos_token:2,0,0,,,0
unconditional,48,211,eos_token:2,0,0,,,0
unconditional,49,1165,eos_token:2,0,0,,,0
unconditional,50,2048,max_length,0,0,,,0
unconditional,51,101,eos_token:2,0,0,,,0
unconditional,52,2048,max_length,1465,1,584,2048,1465
unconditional,53,267,eos_token:2,240,9,9,267,224
unconditional,54,152,eos_token:2,18,9,8,151,2
unconditional,55,485,eos_token:2,155,1,331,485,155
unconditional,56,782,eos_token:2,30,1,753,782,30
unconditional,57,1247,eos_token:2,0,0,,,0
unconditional,58,54,eos_token:2,0,0,,,0
unconditional,59,473,eos_token:2,408,1,66,473,408
unconditional,60,219,eos_token:2,0,0,,,0
unconditional,61,1297,eos_token:2,0,0,,,0
unconditional,62,376,eos_token:2,339,1,38,376,339
unconditional,63,497,eos_token:2,0,0,,,0
