context_id,sample_index,generated_tokens,termination,noncanonical_prefixes,segment_count,first_segment_start,last_segment_end,longest_segment
document-001,0,1312,eos_token:2,0,0,,,0
document-001,1,2048,max_length,0,0,,,0
document-001,2,2048,max_length,0,0,,,0
document-001,3,2048,max_length,0,0,,,0
document-001,4,2048,max_length,0,0,,,0
document-001,5,2048,max_length,1290,1,759,2048,1290
document-001,6,1613,eos_token:2,0,0,,,0
document-001,7,2048,max_length,0,0,,,0
document-001,8,2048,max_length,876,1,1173,2048,876
document-001,9,2048,max_length,849,1,1200,2048,849
document-001,10,2048,max_length,0,0,,,0
document-001,11,2048,max_length,1058,1,991,2048,1058
document-001,12,2048,max_length,0,0,,,0
document-001,13,2048,max_length,1865,1,184,2048,1865
document-001,14,2048,max_length,0,0,,,0
document-001,15,2048,max_length,0,0,,,0
document-002,0,1356,eos_token:2,0,0,,,0
document-002,1,2048,max_length,272,1,1777,2048,272
document-002,2,2048,max_length,0,0,,,0
document-002,3,2048,max_length,0,0,,,0
document-002,4,2048,max_length,159,1,1890,2048,159
document-002,5,640,eos_token:2,0,0,,,0
document-002,6,1768,eos_token:2,84,1,1685,1768,84
document-002,7,1665,eos_token:2,97,1,1569,1665,97
document-002,8,480,eos_token:2,0,0,,,0
document-002,9,2048,max_length,0,0,,,0
document-002,10,2048,max_length,357,1,1692,2048,357
document-002,11,2048,max_length,678,1,1371,2048,678
document-002,12,2048,max_length,1534,1,515,2048,1534
document-002,13,2048,max_length,659,1,1390,2048,659
document-002,14,2048,max_length,0,0,,,0
document-002,15,1452,eos_token:2,0,0,,,0
document-003,0,2048,max_length,0,0,,,0
document-003,1,2048,max_length,859,1,1190,2048,859
document-003,2,1524,eos_token:2,0,0,,,0
document-003,3,2048,max_length,210,1,1839,2048,210
document-003,4,2048,max_length,942,1,1107,2048,942
document-003,5,1031,eos_token:2,0,0,,,0
document-003,6,2048,max_length,2,1,1677,1678,2
document-003,7,2048,max_length,241,1,1808,2048,241
document-003,8,2048,max_length,0,0,,,0
document-003,9,2048,max_length,1443,1,606,2048,1443
document-003,10,2048,max_length,676,1,1373,2048,676
document-003,11,2048,max_length,2048,1,1,2048,2048
document-003,12,2048,max_length,413,1,1636,2048,413
document-003,13,2048,max_length,0,0,,,0
document-003,14,2048,max_length,769,1,1280,2048,769
document-003,15,2048,max_length,878,1,1171,2048,878
document-004,0,2048,max_length,0,0,,,0
document-004,1,2048,max_length,0,0,,,0
document-004,2,2048,max_length,0,0,,,0
document-004,3,2048,max_length,931,1,1118,2048,931
document-004,4,2048,max_length,0,0,,,0
document-004,5,2048,max_length,0,0,,,0
document-004,6,2048,max_length,953,1,1096,2048,953
document-004,7,2048,max_length,0,0,,,0
document-004,8,2048,max_length,264,1,1785,2048,264
document-004,9,2048,max_length,0,0,,,0
document-004,10,1639,eos_token:2,1426,1,214,1639,1426
document-004,11,2048,max_length,1866,1,183,2048,1866
document-004,12,2048,max_length,0,0,,,0
document-004,13,2048,max_length,1379,1,670,2048,1379
document-004,14,2048,max_length,0,0,,,0
document-004,15,2048,max_length,0,0,,,0
document-005,0,2048,max_length,0,0,,,0
document-005,1,2048,max_length,1405,1,644,2048,1405
document-005,2,2048,max_length,1340,1,709,2048,1340
document-005,3,2048,max_length,1962,1,87,2048,1962
document-005,4,2048,max_length,0,0,,,0
document-005,5,2048,max_length,0,0,,,0
document-005,6,1812,eos_token:2,0,0,,,0
document-005,7,2048,max_length,0,0,,,0
document-005,8,2048,max_length,0,0,,,0
document-005,9,2048,max_length,1970,1,79,2048,1970
document-005,10,743,eos_token:2,0,0,,,0
document-005,11,2048,max_length,0,0,,,0
document-005,12,1640,eos_token:2,350,1,1291,1640,350
document-005,13,2048,max_length,854,1,1195,2048,854
document-005,14,2048,max_length,1850,1,199,2048,1850
document-005,15,2048,max_length,0,0,,,0
document-006,0,2048,max_length,291,1,1758,2048,291
document-006,1,281,eos_token:2,0,0,,,0
document-006,2,1126,eos_token:2,0,0,,,0
document-006,3,249,eos_token:2,0,0,,,0
document-006,4,395,eos_token:2,0,0,,,0
document-006,5,314,eos_token:2,0,0,,,0
document-006,6,297,eos_token:2,56,1,242,297,56
document-006,7,2016,eos_token:2,0,0,,,0
document-006,8,2048,max_length,312,1,1737,2048,312
document-006,9,698,eos_token:2,0,0,,,0
document-006,10,728,eos_token:2,0,0,,,0
document-006,11,445,eos_token:2,0,0,,,0
document-006,12,300,eos_token:2,0,0,,,0
