scope,context_id,segment_count,rollouts,percentage
context,document-001,0,11,68.75
context,document-001,1,5,31.25
context,document-002,0,8,50.0
context,document-002,1,8,50.0
context,document-003,0,5,31.25
context,document-003,1,11,68.75
context,document-004,0,10,62.5
context,document-004,1,6,37.5
context,document-005,0,9,56.25
context,document-005,1,7,43.75
context,document-006,0,12,75.0
context,document-006,1,4,25.0
context,document-007,0,5,31.25
context,document-007,1,11,68.75
context,document-008,1,16,100.0
context,document-009,0,10,62.5
context,document-009,1,5,31.25
context,document-009,3,1,6.25
context,document-010,0,12,75.0
context,document-010,1,4,25.0
context,document-011,0,8,50.0
context,document-011,1,7,43.75
context,document-011,9,1,6.25
context,document-012,0,12,75.0
context,document-012,1,4,25.0
context,document-013,1,16,100.0
context,document-014,1,16,100.0
context,document-015,0,2,12.5
context,document-015,1,14,87.5
context,document-016,0,10,62.5
context,document-016,1,5,31.25
context,document-016,2,1,6.25
context,document-017,0,5,31.25
context,document-017,1,11,68.75
context,document-018,1,16,100.0
context,document-019,0,5,31.25
context,document-019,1,10,62.5
context,document-019,2,1,6.25
context,document-020,0,13,81.25
context,document-020,1,3,18.75
context,document-021,0,12,75.0
context,document-021,1,4,25.0
context,document-022,0,12,75.0
context,document-022,1,4,25.0
context,document-023,0,8,50.0
context,document-023,1,8,50.0
context,document-024,0,14,87.5
context,document-024,1,2,12.5
context,document-025,0,3,18.75
context,document-025,1,12,75.0
context,document-025,6,1,6.25
context,document-026,0,10,62.5
context,document-026,1,6,37.5
context,document-027,0,9,56.25
context,document-027,1,6,37.5
context,document-027,3,1,6.25
context,document-028,0,12,75.0
context,document-028,1,4,25.0
context,document-029,0,12,75.0
context,document-029,1,3,18.75
context,document-029,2,1,6.25
context,document-030,0,6,37.5
context,document-030,1,10,62.5
context,document-031,0,5,31.25
context,document-031,1,11,68.75
context,document-032,0,12,75.0
context,document-032,1,4,25.0
context,document-033,0,10,62.5
context,document-033,1,5,31.25
context,document-033,5,1,6.25
context,document-034,0,9,56.25
context,document-034,1,7,43.75
context,document-035,1,16,100.0
context,document-036,0,5,31.25
context,document-036,1,11,68.75
context,document-037,0,10,62.5
context,document-037,1,6,37.5
context,document-038,0,8,50.0
context,document-038,1,8,50.0
context,document-039,1,16,100.0
context,document-040,0,10,62.5
context,document-040,1,5,31.25
context,document-040,2,1,6.25
context,document-041,1,16,100.0
context,document-042,0,13,81.25
context,document-042,1,3,18.75
context,document-043,0,12,75.0
context,document-043,1,2,12.5
context,document-043,2,1,6.25
context,document-043,25,1,6.25
context,document-044,1,16,100.0
context,document-045,0,8,50.0
context,document-045,1,8,50.0
context,document-046,0,2,12.5
context,document-046,1,7,43.75
context,document-046,2,6,37.5
context,document-046,8,1,6.25
context,document-047,0,13,81.25
context,document-047,1,3,18.75
context,document-048,0,12,75.0
context,document-048,1,4,25.0
context,document-049,0,13,81.25
context,document-049,1,3,18.75
context,document-050,0,8,50.0
context,document-050,1,8,50.0
context,document-051,0,8,50.0
context,document-051,1,8,50.0
context,document-052,0,10,62.5
context,document-052,1,6,37.5
context,document-053,0,5,31.25
context,document-053,1,11,68.75
context,document-054,0,15,93.75
context,document-054,1,1,6.25
context,document-055,0,9,56.25
context,document-055,1,7,43.75
context,document-056,0,5,31.25
context,document-056,1,10,62.5
context,document-056,8,1,6.25
context,document-057,0,8,50.0
context,document-057,1,8,50.0
context,document-058,0,11,68.75
context,document-058,1,4,25.0
context,document-058,4,1,6.25
context,document-059,1,16,100.0
context,document-060,0,10,62.5
context,document-060,1,6,37.5
context,document-061,1,16,100.0
context,document-062,0,10,62.5
context,document-062,1,6,37.5
context,document-063,0,12,75.0
context,document-063,1,3,18.75
context,document-063,2,1,6.25
context,document-064,0,5,31.25
context,document-064,1,10,62.5
context,document-064,28,1,6.25
context,document-065,0,11,68.75
context,document-065,1,4,25.0
context,document-065,5,1,6.25
context,document-066,0,11,68.75
context,document-066,1,4,25.0
context,document-066,15,1,6.25
context,document-067,0,8,50.0
context,document-067,1,8,50.0
context,document-068,1,16,100.0
context,document-069,0,8,50.0
context,document-069,1,7,43.75
