context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
document-001,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-001,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-001,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-001,256,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-001,512,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-001,1024,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-001,2048,16,14,2,9,5,64.28571428571429,38.7644231039074,83.65526824644587
document-002,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-002,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-002,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-002,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-002,512,16,15,1,15,0,100.0,79.61166989641515,100.0
document-002,1024,16,14,2,13,1,92.85714285714286,68.5312955758489,98.72777847521093
document-002,2048,16,10,6,4,6,40.0,16.818032970623616,68.73262302663417
document-003,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-003,64,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-003,128,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-003,256,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-003,512,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-003,1024,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-003,2048,16,14,2,4,10,28.571428571428573,11.72137864457692,54.649084329893185
document-004,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-004,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-004,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-004,256,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-004,512,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-004,1024,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-004,2048,16,15,1,10,5,66.66666666666667,41.71354773851977,84.82367556028527
document-005,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-005,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-005,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-005,256,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-005,512,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-005,1024,16,15,1,10,5,66.66666666666667,41.71354773851977,84.82367556028527
document-005,2048,16,13,3,7,6,53.84615384615385,29.143795714506005,76.79393219046169
document-006,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-006,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-006,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-006,256,16,15,1,14,1,93.33333333333333,70.18347012621999,98.81331045067316
document-006,512,16,9,7,9,0,100.0,70.08549515804559,100.0
document-006,1024,16,5,11,5,0,100.0,56.551753521682514,100.0
document-006,2048,16,2,14,0,2,0.0,0.0,65.76197724933469
document-007,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-007,64,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-007,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-007,256,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-007,512,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-007,1024,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-007,2048,16,16,0,5,11,31.25,14.164643854782039,55.59564416525933
document-008,32,16,16,0,0,16,0.0,0.0,19.36076805344365
document-008,64,16,16,0,0,16,0.0,0.0,19.36076805344365
document-008,128,16,16,0,0,16,0.0,0.0,19.36076805344365
document-008,256,16,16,0,0,16,0.0,0.0,19.36076805344365
document-008,512,16,14,2,0,14,0.0,1.3877787807814457e-15,21.531080273763582
document-008,1024,16,12,4,0,12,0.0,2.7755575615628914e-15,24.249400665524085
document-008,2048,16,10,6,0,10,0.0,0.0,27.75327998628892
document-009,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,512,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-009,1024,16,13,3,11,2,84.61538461538461,57.76536898051745,95.67418216419186
document-009,2048,16,11,5,6,5,54.54545454545455,28.009153740932202,78.72872837754024
document-010,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,512,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,1024,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-010,2048,16,15,1,12,3,80.0,54.81455128483065,92.95245065301843
document-011,32,16,15,1,15,0,100.0,79.61166989641515,100.0
document-011,64,16,15,1,15,0,100.0,79.61166989641515,100.0
document-011,128,16,15,1,15,0,100.0,79.61166989641515,100.0
document-011,256,16,15,1,13,2,86.66666666666667,62.11801716767764,96.26387408969346
document-011,512,16,15,1,11,4,73.33333333333333,48.04956594401943,89.10254667430762
document-011,1024,16,15,1,11,4,73.33333333333333,48.04956594401943,89.10254667430762
document-011,2048,16,13,3,5,8,38.46153846153846,17.709707797762576,64.4771084873343
document-012,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-012,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-012,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-012,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-012,512,16,16,0,16,0,100.0,80.63923194655636,100.0
document-012,1024,16,14,2,11,3,78.57142857142857,52.410769413399706,92.42861328730683
document-012,2048,16,10,6,7,3,70.0,39.677814746114535,89.2208732593699
document-013,32,16,15,1,0,15,0.0,0.0,20.388330103584863
document-013,64,16,13,3,0,13,0.0,0.0,22.80953723541984
document-013,128,16,8,8,0,8,0.0,0.0,32.440756488388026
document-013,256,16,7,9,0,7,0.0,5.551115123125783e-15,35.433043506668746
document-013,512,16,3,13,0,3,0.0,5.551115123125783e-15,56.14970317550454
document-013,1024,16,2,14,0,2,0.0,0.0,65.76197724933469
document-013,2048,16,0,16,0,0,,,
document-014,32,16,16,0,0,16,0.0,0.0,19.36076805344365
document-014,64,16,16,0,0,16,0.0,0.0,19.36076805344365
document-014,128,16,16,0,0,16,0.0,0.0,19.36076805344365
document-014,256,16,16,0,0,16,0.0,0.0,19.36076805344365
document-014,512,16,16,0,0,16,0.0,0.0,19.36076805344365
document-014,1024,16,16,0,0,16,0.0,0.0,19.36076805344365
document-014,2048,16,9,7,0,9,0.0,0.0,29.914504841954408
document-015,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-015,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-015,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-015,256,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
