context_id,sample_index,generated_tokens,termination,noncanonical_prefixes,segment_count,first_segment_start,last_segment_end,longest_segment
unconditional,0,180,eos_token:0,0,0,,,0
unconditional,1,1326,eos_token:0,766,5,97,1326,762
unconditional,2,2048,max_length,1328,5,9,2048,1324
unconditional,3,859,eos_token:0,9,9,61,812,1
unconditional,4,280,eos_token:0,214,4,14,280,211
unconditional,5,1241,eos_token:0,1009,1,233,1241,1009
unconditional,6,694,eos_token:0,8,8,12,681,1
unconditional,7,604,eos_token:0,548,1,57,604,548
unconditional,8,226,eos_token:0,13,13,31,205,1
unconditional,9,743,eos_token:0,215,8,11,743,208
unconditional,10,786,eos_token:0,0,0,,,0
unconditional,11,101,eos_token:0,2,2,5,92,1
unconditional,12,262,eos_token:0,0,0,,,0
unconditional,13,207,eos_token:0,5,4,10,207,2
unconditional,14,554,eos_token:0,374,4,35,554,371
unconditional,15,380,eos_token:0,16,12,8,380,5
unconditional,16,308,eos_token:0,133,1,176,308,133
unconditional,17,344,eos_token:0,0,0,,,0
unconditional,18,102,eos_token:0,98,1,5,102,98
unconditional,19,624,eos_token:0,528,2,7,624,527
unconditional,20,302,eos_token:0,135,6,4,302,130
unconditional,21,773,eos_token:0,583,4,17,773,580
unconditional,22,212,eos_token:0,3,3,75,173,1
unconditional,23,2048,max_length,976,10,13,2048,967
unconditional,24,229,eos_token:0,227,1,3,229,227
unconditional,25,591,eos_token:0,519,3,4,591,517
unconditional,26,210,eos_token:0,4,4,4,110,1
unconditional,27,300,eos_token:0,97,6,22,300,92
unconditional,28,2048,max_length,1386,2,317,2048,1385
unconditional,29,323,eos_token:0,0,0,,,0
unconditional,30,2048,max_length,29,29,73,1975,1
unconditional,31,2048,max_length,2018,1,31,2048,2018
unconditional,32,149,eos_token:0,7,7,4,130,1
unconditional,33,2048,max_length,1851,2,58,2048,1850
unconditional,34,237,eos_token:0,0,0,,,0
unconditional,35,864,eos_token:0,775,2,32,864,774
unconditional,36,266,eos_token:0,151,3,63,266,149
unconditional,37,2048,max_length,2035,1,14,2048,2035
unconditional,38,623,eos_token:0,87,22,7,623,66
unconditional,39,89,eos_token:0,88,1,2,89,88
unconditional,40,37,eos_token:0,0,0,,,0
unconditional,41,182,eos_token:0,93,4,6,182,90
unconditional,42,648,eos_token:0,0,0,,,0
unconditional,43,206,eos_token:0,166,3,4,206,164
unconditional,44,221,eos_token:0,22,1,200,221,22
unconditional,45,219,eos_token:0,0,0,,,0
unconditional,46,1180,eos_token:0,921,7,5,1180,915
unconditional,47,46,eos_token:0,2,2,4,8,1
unconditional,48,2048,max_length,1879,1,170,2048,1879
unconditional,49,2048,max_length,1981,1,68,2048,1981
unconditional,50,191,eos_token:0,105,1,87,191,105
unconditional,51,222,eos_token:0,0,0,,,0
unconditional,52,1156,eos_token:0,565,4,139,1156,562
unconditional,53,424,eos_token:0,355,1,70,424,355
unconditional,54,1518,eos_token:0,939,11,15,1518,929
unconditional,55,406,eos_token:0,0,0,,,0
unconditional,56,2048,max_length,1747,4,13,2048,1744
unconditional,57,2048,max_length,1875,4,9,2048,1872
unconditional,58,73,eos_token:0,5,5,6,64,1
unconditional,59,1397,eos_token:0,356,20,79,1397,337
unconditional,60,63,eos_token:0,0,0,,,0
unconditional,61,2048,max_length,1960,1,89,2048,1960
unconditional,62,2048,max_length,1579,3,9,2048,1577
unconditional,63,722,eos_token:0,443,3,175,722,441
