context_id,sample_index,generated_tokens,termination,noncanonical_prefixes,segment_count,first_segment_start,last_segment_end,longest_segment
document-001,0,2048,max_length,1853,1,196,2048,1853
document-001,1,2048,max_length,1717,1,332,2048,1717
document-001,2,132,eos_token:0,5,5,65,102,1
document-001,3,2048,max_length,1361,1,688,2048,1361
document-001,4,2048,max_length,1776,1,273,2048,1776
document-001,5,2048,max_length,2011,1,38,2048,2011
document-001,6,823,eos_token:0,674,1,150,823,674
document-001,7,2048,max_length,1906,1,143,2048,1906
document-001,8,2048,max_length,1659,2,376,2048,1658
document-001,9,2048,max_length,1455,1,594,2048,1455
document-001,10,2048,max_length,1241,1,808,2048,1241
document-001,11,2048,max_length,1997,1,52,2048,1997
document-001,12,364,eos_token:0,325,1,40,364,325
document-001,13,2004,eos_token:0,1943,1,62,2004,1943
document-001,14,2048,max_length,1837,1,212,2048,1837
document-001,15,2048,max_length,1099,2,299,2048,1098
document-002,0,2048,max_length,1661,1,388,2048,1661
document-002,1,2048,max_length,1883,1,166,2048,1883
document-002,2,906,eos_token:0,711,2,6,906,710
document-002,3,2048,max_length,2010,1,39,2048,2010
document-002,4,1716,eos_token:0,1437,1,280,1716,1437
document-002,5,369,eos_token:0,301,1,69,369,301
document-002,6,2048,max_length,1494,1,555,2048,1494
document-002,7,2048,max_length,1463,1,586,2048,1463
document-002,8,80,eos_token:0,0,0,,,0
document-002,9,827,eos_token:0,646,1,182,827,646
document-002,10,2048,max_length,1892,1,157,2048,1892
document-002,11,316,eos_token:0,304,1,13,316,304
document-002,12,792,eos_token:0,738,1,55,792,738
document-002,13,1177,eos_token:0,1039,2,57,1177,1038
document-002,14,2048,max_length,1675,1,374,2048,1675
document-002,15,2048,max_length,1645,2,238,2048,1644
document-003,0,2048,max_length,1376,4,541,2048,1373
document-003,1,2048,max_length,1650,1,399,2048,1650
document-003,2,1251,eos_token:0,550,2,188,1251,549
document-003,3,2048,max_length,1986,1,63,2048,1986
document-003,4,2048,max_length,1897,1,152,2048,1897
document-003,5,2048,max_length,1760,1,289,2048,1760
document-003,6,473,eos_token:0,2,2,423,426,1
document-003,7,2048,max_length,2026,1,23,2048,2026
document-003,8,2048,max_length,814,1,1235,2048,814
document-003,9,1317,eos_token:0,1117,1,201,1317,1117
document-003,10,1460,eos_token:0,1096,2,343,1460,1095
document-003,11,369,eos_token:0,3,3,192,355,1
document-003,12,2048,max_length,1914,1,135,2048,1914
document-003,13,2048,max_length,1389,2,133,2048,1388
document-003,14,2048,max_length,1272,6,136,2048,1267
document-003,15,866,eos_token:0,387,1,480,866,387
document-004,0,501,eos_token:0,283,1,219,501,283
document-004,1,1002,eos_token:0,591,3,199,1002,589
document-004,2,254,eos_token:0,1,1,207,207,1
document-004,3,146,eos_token:0,4,4,46,71,1
document-004,4,362,eos_token:0,296,1,67,362,296
document-004,5,668,eos_token:0,316,1,353,668,316
document-004,6,2048,max_length,1576,1,473,2048,1576
document-004,7,1775,eos_token:0,1587,1,189,1775,1587
document-004,8,316,eos_token:0,218,1,99,316,218
document-004,9,1038,eos_token:0,575,1,464,1038,575
document-004,10,1519,eos_token:0,948,3,427,1519,946
document-004,11,706,eos_token:0,565,1,142,706,565
document-004,12,1691,eos_token:0,1142,3,108,1691,1140
document-004,13,681,eos_token:0,359,1,323,681,359
document-004,14,767,eos_token:0,663,1,105,767,663
document-004,15,2048,max_length,1824,1,225,2048,1824
document-005,0,627,eos_token:0,394,3,183,627,392
document-005,1,2048,max_length,1381,1,668,2048,1381
document-005,2,2048,max_length,1735,1,314,2048,1735
document-005,3,2048,max_length,1544,1,505,2048,1544
document-005,4,1798,eos_token:0,1606,1,193,1798,1606
document-005,5,1243,eos_token:0,1068,1,176,1243,1068
document-005,6,2048,max_length,1768,1,281,2048,1768
document-005,7,850,eos_token:0,689,1,162,850,689
document-005,8,1355,eos_token:0,1008,1,348,1355,1008
document-005,9,2048,max_length,1699,1,350,2048,1699
document-005,10,2048,max_length,1099,2,622,2048,1098
document-005,11,2048,max_length,1870,1,179,2048,1870
document-005,12,2048,max_length,1787,1,262,2048,1787
document-005,13,2048,max_length,1624,1,425,2048,1624
document-005,14,717,eos_token:0,495,1,223,717,495
document-005,15,812,eos_token:0,695,1,118,812,695
document-006,0,2048,max_length,1470,3,214,2048,1468
document-006,1,2048,max_length,1159,2,362,2048,1158
document-006,2,2048,max_length,2019,1,30,2048,2019
document-006,3,2048,max_length,1916,1,133,2048,1916
document-006,4,678,eos_token:0,569,1,110,678,569
document-006,5,2048,max_length,2044,1,5,2048,2044
document-006,6,2048,max_length,1394,1,655,2048,1394
document-006,7,1882,eos_token:0,1852,1,31,1882,1852
document-006,8,2048,max_length,2003,1,46,2048,2003
document-006,9,2048,max_length,1911,2,109,2048,1910
document-006,10,2048,max_length,1518,2,298,2048,1517
document-006,11,2048,max_length,1860,1,189,2048,1860
document-006,12,2048,max_length,2044,1,5,2048,2044
document-006,13,2048,max_length,2044,1,5,2048,2044
document-006,14,2048,max_length,1427,1,622,2048,1427
document-006,15,2048,max_length,2029,1,20,2048,2029
document-007,0,2048,max_length,1545,1,504,2048,1545
document-007,1,1322,eos_token:0,1265,1,58,1322,1265
document-007,2,138,eos_token:0,91,1,48,138,91
document-007,3,730,eos_token:0,518,1,213,730,518
document-007,4,1243,eos_token:0,1202,1,42,1243,1202
document-007,5,1253,eos_token:0,1004,2,245,1253,1003
document-007,6,2048,max_length,1750,7,12,2048,1744
document-007,7,2048,max_length,1728,1,321,2048,1728
document-007,8,2048,max_length,1994,1,55,2048,1994
document-007,9,224,eos_token:0,2,2,188,191,1
document-007,10,2048,max_length,1462,1,587,2048,1462
document-007,11,239,eos_token:0,163,1,77,239,163
document-007,12,2048,max_length,1241,5,80,2048,1237
document-007,13,1844,eos_token:0,1722,1,123,1844,1722
document-007,14,1550,eos_token:0,1147,1,404,1550,1147
document-007,15,2048,max_length,1789,1,260,2048,1789
document-008,0,2048,max_length,1363,2,31,2048,1362
document-008,1,2048,max_length,1832,5,44,2048,1828
document-008,2,2048,max_length,2044,1,5,2048,2044
document-008,3,1137,eos_token:0,1043,1,95,1137,1043
document-008,4,1430,eos_token:0,1373,1,58,1430,1373
document-008,5,101,eos_token:0,0,0,,,0
document-008,6,2048,max_length,1980,1,69,2048,1980
document-008,7,2048,max_length,1593,5,227,2048,1589
document-008,8,2048,max_length,1770,1,279,2048,1770
document-008,9,932,eos_token:0,885,1,48,932,885
document-008,10,2048,max_length,1848,1,201,2048,1848
document-008,11,1254,eos_token:0,1015,1,240,1254,1015
document-008,12,218,eos_token:0,112,2,27,218,111
document-008,13,2048,max_length,1974,1,75,2048,1974
document-008,14,2048,max_length,1949,1,100,2048,1949
document-008,15,902,eos_token:0,681,1,222,902,681
document-009,0,2048,max_length,1906,1,143,2048,1906
document-009,1,2048,max_length,1925,2,96,2048,1924
document-009,2,2048,max_length,1612,2,198,2048,1611
document-009,3,2048,max_length,1081,1,968,2048,1081
document-009,4,2048,max_length,2045,1,4,2048,2045
document-009,5,2048,max_length,687,2,71,2048,686
document-009,6,2048,max_length,1787,2,40,2048,1786
document-009,7,2048,max_length,944,1,1105,2048,944
document-009,8,2048,max_length,1459,1,590,2048,1459
document-009,9,2048,max_length,1986,1,63,2048,1986
document-009,10,2048,max_length,1969,1,80,2048,1969
document-009,11,189,eos_token:0,0,0,,,0
document-009,12,2048,max_length,1927,1,122,2048,1927
document-009,13,247,eos_token:0,11,1,237,247,11
document-009,14,104,eos_token:0,0,0,,,0
document-009,15,2048,max_length,1788,1,261,2048,1788
document-010,0,746,eos_token:0,707,1,40,746,707
document-010,1,2048,max_length,1930,1,119,2048,1930
document-010,2,2048,max_length,722,1,1327,2048,722
document-010,3,2048,max_length,1485,1,564,2048,1485
document-010,4,1081,eos_token:0,990,1,92,1081,990
document-010,5,2048,max_length,2,2,890,920,1
document-010,6,1198,eos_token:0,667,3,289,1198,665
document-010,7,2048,max_length,1483,1,566,2048,1483
document-010,8,2048,max_length,948,2,103,2048,947
document-010,9,1286,eos_token:0,752,1,535,1286,752
