scope,context_id,segment_count,rollouts,percentage
context,document-001,1,13,81.25
context,document-001,2,2,12.5
context,document-001,5,1,6.25
context,document-002,0,1,6.25
context,document-002,1,12,75.0
context,document-002,2,3,18.75
context,document-003,1,9,56.25
context,document-003,2,4,25.0
context,document-003,3,1,6.25
context,document-003,4,1,6.25
context,document-003,6,1,6.25
context,document-004,1,12,75.0
context,document-004,3,3,18.75
context,document-004,4,1,6.25
context,document-005,1,14,87.5
context,document-005,2,1,6.25
context,document-005,3,1,6.25
context,document-006,1,12,75.0
context,document-006,2,3,18.75
context,document-006,3,1,6.25
context,document-007,1,12,75.0
context,document-007,2,2,12.5
context,document-007,5,1,6.25
context,document-007,7,1,6.25
context,document-008,0,1,6.25
context,document-008,1,11,68.75
context,document-008,2,2,12.5
context,document-008,5,2,12.5
context,document-009,0,2,12.5
context,document-009,1,10,62.5
context,document-009,2,4,25.0
context,document-010,1,10,62.5
context,document-010,2,3,18.75
context,document-010,3,2,12.5
context,document-010,5,1,6.25
context,document-011,0,1,6.25
context,document-011,1,9,56.25
context,document-011,2,2,12.5
context,document-011,3,3,18.75
context,document-011,10,1,6.25
context,document-012,1,10,62.5
context,document-012,2,3,18.75
context,document-012,4,3,18.75
context,document-013,1,11,68.75
context,document-013,2,3,18.75
context,document-013,3,1,6.25
context,document-013,4,1,6.25
context,document-014,1,13,81.25
context,document-014,2,1,6.25
context,document-014,4,1,6.25
context,document-014,6,1,6.25
context,document-015,0,1,6.25
context,document-015,1,11,68.75
context,document-015,2,2,12.5
context,document-015,3,2,12.5
context,document-016,1,11,68.75
context,document-016,2,3,18.75
context,document-016,3,2,12.5
context,document-017,1,11,68.75
context,document-017,2,3,18.75
context,document-017,3,1,6.25
context,document-017,9,1,6.25
context,document-018,1,10,62.5
context,document-018,2,3,18.75
context,document-018,3,2,12.5
context,document-018,7,1,6.25
context,document-019,1,12,75.0
context,document-019,2,2,12.5
context,document-019,3,1,6.25
context,document-019,5,1,6.25
context,document-020,1,13,81.25
context,document-020,2,3,18.75
context,document-021,0,1,6.25
context,document-021,1,11,68.75
context,document-021,2,1,6.25
context,document-021,4,1,6.25
context,document-021,5,1,6.25
context,document-021,10,1,6.25
context,document-022,1,10,62.5
context,document-022,2,3,18.75
context,document-022,3,3,18.75
context,document-023,1,14,87.5
context,document-023,2,2,12.5
context,document-024,0,1,6.25
context,document-024,1,9,56.25
context,document-024,2,2,12.5
context,document-024,3,1,6.25
context,document-024,4,1,6.25
context,document-024,5,1,6.25
context,document-024,11,1,6.25
context,document-025,1,12,75.0
context,document-025,2,2,12.5
context,document-025,3,2,12.5
context,document-026,0,3,18.75
context,document-026,1,9,56.25
context,document-026,2,1,6.25
context,document-026,3,2,12.5
context,document-026,9,1,6.25
context,document-027,0,1,6.25
context,document-027,1,15,93.75
context,document-028,0,1,6.25
context,document-028,1,12,75.0
context,document-028,2,1,6.25
context,document-028,4,1,6.25
context,document-028,5,1,6.25
context,document-029,0,1,6.25
context,document-029,1,9,56.25
context,document-029,2,3,18.75
context,document-029,4,1,6.25
context,document-029,5,1,6.25
context,document-029,6,1,6.25
context,document-030,1,15,93.75
context,document-030,3,1,6.25
context,document-031,1,11,68.75
context,document-031,2,3,18.75
context,document-031,3,1,6.25
context,document-031,4,1,6.25
context,document-032,1,11,68.75
context,document-032,2,1,6.25
context,document-032,3,2,12.5
context,document-032,4,1,6.25
context,document-032,5,1,6.25
context,document-033,1,14,87.5
context,document-033,2,1,6.25
context,document-033,4,1,6.25
context,document-034,0,1,6.25
context,document-034,1,12,75.0
context,document-034,2,2,12.5
context,document-034,3,1,6.25
context,document-035,1,13,81.25
context,document-035,2,3,18.75
context,document-036,0,1,6.25
context,document-036,1,8,50.0
context,document-036,2,3,18.75
context,document-036,3,1,6.25
context,document-036,4,1,6.25
context,document-036,5,2,12.5
context,document-037,0,1,6.25
context,document-037,1,9,56.25
context,document-037,2,1,6.25
context,document-037,3,3,18.75
context,document-037,4,1,6.25
context,document-037,5,1,6.25
context,document-038,1,12,75.0
context,document-038,2,2,12.5
context,document-038,3,1,6.25
context,document-038,5,1,6.25
context,document-039,1,8,50.0
context,document-039,2,5,31.25
context,document-039,3,2,12.5
context,document-039,4,1,6.25
context,document-040,1,15,93.75
context,document-040,2,1,6.25
context,document-041,1,13,81.25
context,document-041,2,2,12.5
context,document-041,10,1,6.25
context,document-042,1,13,81.25
context,document-042,2,1,6.25
context,document-042,4,1,6.25
context,document-042,10,1,6.25
context,document-043,0,1,6.25
context,document-043,1,8,50.0
context,document-043,2,4,25.0
context,document-043,3,1,6.25
context,document-043,6,2,12.5
context,document-044,1,10,62.5
context,document-044,2,2,12.5
context,document-044,3,3,18.75
context,document-044,10,1,6.25
context,document-045,1,14,87.5
context,document-045,2,1,6.25
context,document-045,5,1,6.25
context,document-046,1,5,31.25
context,document-046,2,5,31.25
context,document-046,3,1,6.25
context,document-046,4,1,6.25
context,document-046,5,1,6.25
context,document-046,6,1,6.25
context,document-046,7,1,6.25
context,document-046,8,1,6.25
context,document-047,1,14,87.5
context,document-047,2,2,12.5
context,document-048,1,13,81.25
context,document-048,2,1,6.25
context,document-048,3,1,6.25
context,document-048,5,1,6.25
context,document-049,0,1,6.25
context,document-049,1,9,56.25
context,document-049,2,1,6.25
context,document-049,3,1,6.25
context,document-049,4,1,6.25
context,document-049,5,2,12.5
context,document-049,13,1,6.25
context,document-050,1,14,87.5
context,document-050,3,1,6.25
context,document-050,6,1,6.25
context,document-051,1,13,81.25
context,document-051,2,2,12.5
context,document-051,6,1,6.25
context,document-052,1,15,93.75
context,document-052,2,1,6.25
context,document-053,1,8,50.0
context,document-053,2,3,18.75
context,document-053,3,3,18.75
context,document-053,4,2,12.5
context,document-054,1,13,81.25
context,document-054,2,1,6.25
context,document-054,3,1,6.25
context,document-054,4,1,6.25
context,document-055,0,1,6.25
context,document-055,1,11,68.75
context,document-055,2,3,18.75
context,document-055,3,1,6.25
context,document-056,0,2,12.5
context,document-056,1,8,50.0
context,document-056,2,3,18.75
context,document-056,3,2,12.5
context,document-056,6,1,6.25
context,document-057,0,1,6.25
context,document-057,1,11,68.75
context,document-057,2,1,6.25
context,document-057,3,3,18.75
context,document-058,1,13,81.25
context,document-058,2,1,6.25
context,document-058,4,1,6.25
context,document-058,11,1,6.25
context,document-059,0,1,6.25
context,document-059,1,11,68.75
context,document-059,2,3,18.75
context,document-059,3,1,6.25
context,document-060,0,2,12.5
context,document-060,1,8,50.0
context,document-060,2,4,25.0
context,document-060,3,1,6.25
context,document-060,4,1,6.25
context,document-061,1,9,56.25
context,document-061,2,2,12.5
context,document-061,3,2,12.5
context,document-061,6,1,6.25
context,document-061,8,1,6.25
context,document-061,13,1,6.25
context,document-062,1,14,87.5
context,document-062,2,1,6.25
context,document-062,6,1,6.25
context,document-063,0,1,6.25
context,document-063,1,10,62.5
context,document-063,2,2,12.5
context,document-063,3,2,12.5
context,document-063,4,1,6.25
context,document-064,0,1,6.25
context,document-064,1,10,62.5
context,document-064,2,4,25.0
context,document-064,3,1,6.25
context,document-065,1,11,68.75
context,document-065,2,3,18.75
context,document-065,7,1,6.25
context,document-065,11,1,6.25
context,document-066,1,12,75.0
context,document-066,3,2,12.5
context,document-066,6,2,12.5
context,document-067,0,1,6.25
context,document-067,1,9,56.25
context,document-067,2,4,25.0
context,document-067,3,1,6.25
context,document-067,4,1,6.25
context,document-068,2,4,25.0
context,document-068,3,1,6.25
context,document-068,4,2,12.5
context,document-068,5,1,6.25
context,document-068,6,3,18.75
context,document-068,7,1,6.25
context,document-068,8,1,6.25
context,document-068,10,1,6.25
context,document-068,15,1,6.25
context,document-068,34,1,6.25
context,document-069,0,1,6.25
context,document-069,1,12,75.0
context,document-069,2,1,6.25
context,document-069,3,1,6.25
context,document-069,10,1,6.25
context,document-070,1,13,81.25
context,document-070,2,1,6.25
context,document-070,3,1,6.25
context,document-070,5,1,6.25
context,document-071,1,12,75.0
context,document-071,2,2,12.5
context,document-071,3,1,6.25
context,document-071,5,1,6.25
context,document-072,1,12,75.0
context,document-072,2,1,6.25
context,document-072,4,1,6.25
context,document-072,5,1,6.25
context,document-072,7,1,6.25
context,document-073,0,2,12.5
context,document-073,1,12,75.0
context,document-073,2,1,6.25
context,document-073,5,1,6.25
context,document-074,0,1,6.25
context,document-074,1,6,37.5
context,document-074,3,6,37.5
context,document-074,4,2,12.5
context,document-074,5,1,6.25
context,document-075,1,15,93.75
context,document-075,3,1,6.25
context,document-076,0,1,6.25
context,document-076,1,9,56.25
context,document-076,2,2,12.5
context,document-076,3,1,6.25
context,document-076,4,2,12.5
context,document-076,5,1,6.25
context,document-077,0,1,6.25
context,document-077,1,10,62.5
context,document-077,2,1,6.25
context,document-077,3,2,12.5
context,document-077,5,1,6.25
context,document-077,7,1,6.25
context,document-078,0,1,6.25
context,document-078,1,12,75.0
context,document-078,2,1,6.25
context,document-078,3,1,6.25
context,document-078,5,1,6.25
context,document-079,0,1,6.25
context,document-079,1,8,50.0
context,document-079,2,3,18.75
context,document-079,4,1,6.25
context,document-079,7,1,6.25
context,document-079,8,1,6.25
context,document-079,10,1,6.25
context,document-080,1,11,68.75
context,document-080,3,2,12.5
context,document-080,5,2,12.5
context,document-080,6,1,6.25
context,document-081,1,14,87.5
context,document-081,2,1,6.25
context,document-081,3,1,6.25
context,document-082,0,1,6.25
context,document-082,1,9,56.25
context,document-082,2,1,6.25
context,document-082,3,2,12.5
context,document-082,4,2,12.5
context,document-082,11,1,6.25
context,document-083,0,1,6.25
context,document-083,1,8,50.0
context,document-083,2,4,25.0
context,document-083,6,2,12.5
context,document-083,10,1,6.25
context,document-084,0,1,6.25
context,document-084,1,13,81.25
context,document-084,2,1,6.25
context,document-084,3,1,6.25
context,document-085,1,12,75.0
context,document-085,2,3,18.75
context,document-085,4,1,6.25
context,document-086,0,1,6.25
context,document-086,1,9,56.25
context,document-086,2,2,12.5
context,document-086,3,3,18.75
context,document-086,4,1,6.25
context,document-087,1,12,75.0
context,document-087,2,2,12.5
context,document-087,3,1,6.25
context,document-087,7,1,6.25
context,document-088,1,11,68.75
context,document-088,2,4,25.0
context,document-088,4,1,6.25
context,document-089,1,12,75.0
context,document-089,2,2,12.5
context,document-089,3,2,12.5
context,document-090,1,10,62.5
context,document-090,2,3,18.75
context,document-090,3,2,12.5
context,document-090,5,1,6.25
context,document-091,0,1,6.25
context,document-091,1,13,81.25
context,document-091,2,1,6.25
context,document-091,4,1,6.25
context,document-092,0,1,6.25
context,document-092,1,11,68.75
context,document-092,2,3,18.75
context,document-092,3,1,6.25
context,document-093,1,6,37.5
context,document-093,2,1,6.25
context,document-093,3,3,18.75
context,document-093,7,2,12.5
context,document-093,17,1,6.25
context,document-093,20,1,6.25
context,document-093,31,1,6.25
context,document-093,53,1,6.25
context,document-094,0,1,6.25
context,document-094,1,13,81.25
context,document-094,2,1,6.25
context,document-094,3,1,6.25
context,document-095,1,14,87.5
context,document-095,3,1,6.25
context,document-095,5,1,6.25
context,document-096,1,15,93.75
context,document-096,2,1,6.25
context,document-097,1,9,56.25
context,document-097,2,3,18.75
context,document-097,3,3,18.75
context,document-097,4,1,6.25
context,document-098,0,2,12.5
context,document-098,1,10,62.5
context,document-098,2,3,18.75
context,document-098,4,1,6.25
context,document-099,1,12,75.0
context,document-099,2,2,12.5
context,document-099,3,2,12.5
context,document-100,1,12,75.0
context,document-100,2,1,6.25
context,document-100,3,1,6.25
context,document-100,4,1,6.25
context,document-100,7,1,6.25
pooled,,0,46,2.875
pooled,,1,1111,69.4375
pooled,,2,199,12.4375
pooled,,3,109,6.8125
pooled,,4,44,2.75
pooled,,5,33,2.0625
pooled,,6,19,1.1875
pooled,,7,12,0.75
pooled,,8,4,0.25
pooled,,9,2,0.125
pooled,,10,9,0.5625
pooled,,11,4,0.25
pooled,,13,2,0.125
pooled,,15,1,0.0625
pooled,,17,1,0.0625
pooled,,20,1,0.0625
pooled,,31,1,0.0625
pooled,,34,1,0.0625
pooled,,53,1,0.0625
