context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
document-001,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-001,64,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-001,128,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-001,256,16,15,1,7,8,46.666666666666664,24.809535365737386,69.88301997450161
document-001,512,16,14,2,4,10,28.571428571428573,11.72137864457692,54.649084329893185
document-001,1024,16,13,3,0,13,0.0,0.0,22.80953723541984
document-001,2048,16,12,4,0,12,0.0,2.7755575615628914e-15,24.249400665524085
document-002,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-002,64,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-002,128,16,15,1,11,4,73.33333333333333,48.04956594401943,89.10254667430762
document-002,256,16,15,1,6,9,40.0,19.82449614134158,64.25316987937539
document-002,512,16,13,3,2,11,15.384615384615385,4.3258178358081185,42.234631019482535
document-002,1024,16,10,6,0,10,0.0,0.0,27.75327998628892
document-002,2048,16,8,8,0,8,0.0,0.0,32.440756488388026
document-003,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-003,64,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-003,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-003,256,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-003,512,16,14,2,5,9,35.714285714285715,16.34473175355414,61.2355768960926
document-003,1024,16,13,3,1,12,7.6923076923076925,1.3710421242556587,33.31395092109959
document-003,2048,16,10,6,0,10,0.0,0.0,27.75327998628892
document-004,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-004,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-004,128,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-004,256,16,14,2,7,7,50.0,26.799202452413635,73.20079754758638
document-004,512,16,11,5,2,9,18.181818181818183,5.136768974608513,47.69805619608442
document-004,1024,16,6,10,0,6,0.0,2.7755575615628914e-15,39.033428790216526
document-004,2048,16,2,14,0,2,0.0,0.0,65.76197724933469
document-005,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-005,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-005,128,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-005,256,16,16,0,9,7,56.25,33.1785563988119,76.90134759450766
document-005,512,16,16,0,2,14,12.5,3.497748774324047,36.02282726575869
document-005,1024,16,12,4,0,12,0.0,2.7755575615628914e-15,24.249400665524085
document-005,2048,16,9,7,0,9,0.0,0.0,29.914504841954408
document-006,32,16,16,0,10,6,62.5,38.64104054550271,81.51876744113636
document-006,64,16,16,0,9,7,56.25,33.1785563988119,76.90134759450766
document-006,128,16,16,0,8,8,50.0,27.999563610326017,72.00043638967398
document-006,256,16,16,0,5,11,31.25,14.164643854782039,55.59564416525933
document-006,512,16,16,0,5,11,31.25,14.164643854782039,55.59564416525933
document-006,1024,16,15,1,0,15,0.0,0.0,20.388330103584863
document-006,2048,16,14,2,0,14,0.0,1.3877787807814457e-15,21.531080273763582
document-007,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-007,64,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-007,128,16,16,0,10,6,62.5,38.64104054550271,81.51876744113636
document-007,256,16,13,3,7,6,53.84615384615385,29.143795714506005,76.79393219046169
document-007,512,16,13,3,2,11,15.384615384615385,4.3258178358081185,42.234631019482535
document-007,1024,16,12,4,0,12,0.0,2.7755575615628914e-15,24.249400665524085
document-007,2048,16,7,9,0,7,0.0,5.551115123125783e-15,35.433043506668746
document-008,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-008,64,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-008,128,16,15,1,7,8,46.666666666666664,24.809535365737386,69.88301997450161
document-008,256,16,14,2,3,11,21.428571428571427,7.571386712693185,47.589230586600294
document-008,512,16,14,2,1,13,7.142857142857143,1.272221524789094,31.468704424151117
document-008,1024,16,12,4,0,12,0.0,2.7755575615628914e-15,24.249400665524085
document-008,2048,16,9,7,0,9,0.0,0.0,29.914504841954408
document-009,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-009,64,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-009,128,16,15,1,10,5,66.66666666666667,41.71354773851977,84.82367556028527
document-009,256,16,13,3,7,6,53.84615384615385,29.143795714506005,76.79393219046169
document-009,512,16,13,3,4,9,30.76923076923077,12.680703655710515,57.63065681945096
document-009,1024,16,13,3,2,11,15.384615384615385,4.3258178358081185,42.234631019482535
document-009,2048,16,13,3,0,13,0.0,0.0,22.80953723541984
document-010,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,64,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-010,128,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-010,256,16,15,1,9,6,60.0,35.7468301206246,80.17550385865842
document-010,512,16,15,1,9,6,60.0,35.7468301206246,80.17550385865842
document-010,1024,16,12,4,4,8,33.333333333333336,13.812009109121314,60.93779111272004
document-010,2048,16,7,9,1,6,14.285714285714286,2.5679624344743552,51.31278292743189
document-011,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-011,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-011,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-011,256,16,15,1,11,4,73.33333333333333,48.04956594401943,89.10254667430762
document-011,512,16,13,3,6,7,46.15384615384615,23.206067809538304,70.85620428549399
document-011,1024,16,11,5,2,9,18.181818181818183,5.136768974608513,47.69805619608442
document-011,2048,16,7,9,0,7,0.0,5.551115123125783e-15,35.433043506668746
document-012,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-012,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-012,128,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-012,256,16,15,1,11,4,73.33333333333333,48.04956594401943,89.10254667430762
document-012,512,16,14,2,4,10,28.571428571428573,11.72137864457692,54.649084329893185
document-012,1024,16,11,5,1,10,9.090909090909092,1.6232172885884855,37.73584364515957
document-012,2048,16,9,7,0,9,0.0,0.0,29.914504841954408
document-013,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-013,64,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-013,128,16,16,0,8,8,50.0,27.999563610326017,72.00043638967398
document-013,256,16,15,1,7,8,46.666666666666664,24.809535365737386,69.88301997450161
document-013,512,16,15,1,0,15,0.0,0.0,20.388330103584863
document-013,1024,16,13,3,0,13,0.0,0.0,22.80953723541984
document-013,2048,16,11,5,0,11,0.0,0.0,25.88329669680317
document-014,32,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-014,64,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-014,128,16,16,0,8,8,50.0,27.999563610326017,72.00043638967398
document-014,256,16,16,0,6,10,37.5,18.481232558863635,61.358959454497274
document-014,512,16,14,2,3,11,21.428571428571427,7.571386712693185,47.589230586600294
document-014,1024,16,13,3,0,13,0.0,0.0,22.80953723541984
document-014,2048,16,12,4,0,12,0.0,2.7755575615628914e-15,24.249400665524085
document-015,32,16,15,1,12,3,80.0,54.81455128483065,92.95245065301843
document-015,64,16,15,1,9,6,60.0,35.7468301206246,80.17550385865842
document-015,128,16,15,1,4,11,26.666666666666668,10.897453325692375,51.950434055980566
document-015,256,16,15,1,1,14,6.666666666666667,1.1866895493268554,29.816529873780027
document-015,512,16,15,1,0,15,0.0,0.0,20.388330103584863
document-015,1024,16,12,4,0,12,0.0,2.7755575615628914e-15,24.249400665524085
document-015,2048,16,11,5,0,11,0.0,0.0,25.88329669680317
document-016,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-016,64,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-016,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-016,256,16,16,0,9,7,56.25,33.1785563988119,76.90134759450766
document-016,512,16,15,1,2,13,13.333333333333334,3.736125910306537,37.881982832322365
document-016,1024,16,14,2,0,14,0.0,1.3877787807814457e-15,21.531080273763582
document-016,2048,16,11,5,0,11,0.0,0.0,25.88329669680317
document-017,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-017,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-017,128,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-017,256,16,16,0,7,9,43.75,23.098652405492352,66.82144360118811
document-017,512,16,13,3,2,11,15.384615384615385,4.3258178358081185,42.234631019482535
document-017,1024,16,10,6,0,10,0.0,0.0,27.75327998628892
document-017,2048,16,5,11,0,5,0.0,0.0,43.44824647831748
document-018,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-018,64,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-018,128,16,15,1,13,2,86.66666666666667,62.11801716767764,96.26387408969346
document-018,256,16,15,1,9,6,60.0,35.7468301206246,80.17550385865842
document-018,512,16,12,4,4,8,33.333333333333336,13.812009109121314,60.93779111272004
document-018,1024,16,11,5,0,11,0.0,0.0,25.88329669680317
document-018,2048,16,8,8,0,8,0.0,0.0,32.440756488388026
document-019,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-019,64,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
