context_id,sample_index,generated_tokens,termination,noncanonical_prefixes,segment_count,first_segment_start,last_segment_end,longest_segment
unconditional,0,0,eos_token:151643,0,0,,,0
unconditional,1,1184,eos_token:151643,0,0,,,0
unconditional,2,745,eos_token:151645,12,7,8,742,2
unconditional,3,2048,max_length,11,8,187,2019,2
unconditional,4,0,eos_token:151643,0,0,,,0
unconditional,5,2048,max_length,1516,5,98,2048,1509
unconditional,6,2048,max_length,1740,1,309,2048,1740
unconditional,7,0,eos_token:151643,0,0,,,0
unconditional,8,266,eos_token:151643,263,1,4,266,263
unconditional,9,2048,max_length,448,1,1601,2048,448
unconditional,10,0,eos_token:151643,0,0,,,0
unconditional,11,0,eos_token:151643,0,0,,,0
unconditional,12,2048,max_length,13,7,2,237,2
unconditional,13,0,eos_token:151643,0,0,,,0
unconditional,14,942,eos_token:151645,15,14,41,913,2
unconditional,15,1369,eos_token:151645,6,5,84,1366,2
unconditional,16,2048,max_length,458,1,1591,2048,458
unconditional,17,2048,max_length,9,7,1291,1986,2
unconditional,18,2048,max_length,1326,11,62,2048,1313
unconditional,19,2048,max_length,0,0,,,0
unconditional,20,2048,max_length,1835,1,214,2048,1835
unconditional,21,2048,max_length,8,5,1338,2042,2
unconditional,22,0,eos_token:151643,0,0,,,0
unconditional,23,0,eos_token:151643,0,0,,,0
unconditional,24,2048,max_length,11,10,1580,2027,2
unconditional,25,2048,max_length,0,0,,,0
unconditional,26,2048,max_length,1322,9,22,2048,1310
unconditional,27,215,eos_token:151645,0,0,,,0
unconditional,28,0,eos_token:151643,0,0,,,0
unconditional,29,2048,max_length,849,13,128,2048,833
unconditional,30,0,eos_token:151643,0,0,,,0
unconditional,31,0,eos_token:151643,0,0,,,0
unconditional,32,0,eos_token:151643,0,0,,,0
unconditional,33,2048,max_length,2,2,1858,1899,1
unconditional,34,0,eos_token:151643,0,0,,,0
unconditional,35,1759,eos_token:151643,1740,1,20,1759,1740
unconditional,36,1390,eos_token:151643,1,1,811,811,1
unconditional,37,0,eos_token:151643,0,0,,,0
unconditional,38,2048,max_length,0,0,,,0
unconditional,39,2048,max_length,2034,1,15,2048,2034
unconditional,40,2048,max_length,17,9,482,2038,2
unconditional,41,0,eos_token:151643,0,0,,,0
unconditional,42,2048,max_length,0,0,,,0
unconditional,43,185,eos_token:151643,159,1,27,185,159
unconditional,44,2048,max_length,0,0,,,0
unconditional,45,2048,max_length,2045,1,4,2048,2045
unconditional,46,1245,eos_token:151643,4,4,143,214,1
unconditional,47,807,eos_token:151643,0,0,,,0
unconditional,48,2048,max_length,7,5,494,584,2
unconditional,49,0,eos_token:151643,0,0,,,0
unconditional,50,0,eos_token:151643,0,0,,,0
unconditional,51,0,eos_token:151643,0,0,,,0
unconditional,52,0,eos_token:151643,0,0,,,0
unconditional,53,2048,max_length,2045,1,4,2048,2045
unconditional,54,2048,max_length,4,4,46,67,1
unconditional,55,2048,max_length,2027,2,2,2048,2026
unconditional,56,2048,max_length,1224,1,825,2048,1224
unconditional,57,927,eos_token:151645,609,12,30,927,589
unconditional,58,2048,max_length,81,55,2,2033,2
unconditional,59,2048,max_length,2002,1,47,2048,2002
unconditional,60,536,eos_token:151643,504,1,33,536,504
unconditional,61,0,eos_token:151643,0,0,,,0
unconditional,62,2048,max_length,0,0,,,0
unconditional,63,2048,max_length,0,0,,,0
