scope,context_id,segment_count,rollouts,percentage
context,unconditional,0,30,46.875
context,unconditional,1,14,21.875
context,unconditional,2,2,3.125
context,unconditional,4,2,3.125
context,unconditional,5,4,6.25
context,unconditional,7,3,4.6875
context,unconditional,8,1,1.5625
context,unconditional,9,2,3.125
context,unconditional,10,1,1.5625
context,unconditional,11,1,1.5625
context,unconditional,12,1,1.5625
context,unconditional,13,1,1.5625
context,unconditional,14,1,1.5625
context,unconditional,55,1,1.5625
pooled,,0,30,46.875
pooled,,1,14,21.875
pooled,,2,2,3.125
pooled,,4,2,3.125
pooled,,5,4,6.25
pooled,,7,3,4.6875
pooled,,8,1,1.5625
pooled,,9,2,3.125
pooled,,10,1,1.5625
pooled,,11,1,1.5625
pooled,,12,1,1.5625
pooled,,13,1,1.5625
pooled,,14,1,1.5625
pooled,,55,1,1.5625
