context_id,sample_index,generated_tokens,termination,noncanonical_prefixes,segment_count,first_segment_start,last_segment_end,longest_segment
document-001,0,2048,max_length,1,1,1444,1444,1
document-001,1,2048,max_length,517,2,1184,2048,516
document-001,2,2048,max_length,760,2,1145,2048,759
document-001,3,2048,max_length,6,6,542,2022,1
document-001,4,2048,max_length,1,1,571,571,1
document-001,5,2048,max_length,2,2,805,1809,1
document-001,6,2048,max_length,0,0,,,0
document-001,7,1065,eos_token:151643,2,2,394,434,1
document-001,8,1612,eos_token:151643,3,3,873,944,1
document-001,9,2048,max_length,945,3,688,2048,943
document-001,10,2048,max_length,3,3,336,1166,1
document-001,11,2048,max_length,0,0,,,0
document-001,12,2048,max_length,1,1,993,993,1
document-001,13,2048,max_length,0,0,,,0
document-001,14,679,eos_token:151645,0,0,,,0
document-001,15,2048,max_length,0,0,,,0
document-002,0,2048,max_length,0,0,,,0
document-002,1,2048,max_length,0,0,,,0
document-002,2,2048,max_length,0,0,,,0
document-002,3,2048,max_length,1,1,1501,1501,1
document-002,4,2048,max_length,1638,1,411,2048,1638
document-002,5,2048,max_length,3,3,862,1962,1
document-002,6,2048,max_length,2,2,649,657,1
document-002,7,2048,max_length,614,1,1435,2048,614
document-002,8,2048,max_length,2,2,1197,1482,1
document-002,9,2048,max_length,0,0,,,0
document-002,10,1470,eos_token:151643,0,0,,,0
document-002,11,2048,max_length,0,0,,,0
document-002,12,988,eos_token:151645,0,0,,,0
document-002,13,2048,max_length,0,0,,,0
document-002,14,2048,max_length,553,1,1496,2048,553
document-002,15,2048,max_length,16,9,881,1973,2
document-003,0,1210,eos_token:151645,6,6,417,1165,1
document-003,1,2048,max_length,0,0,,,0
document-003,2,2048,max_length,0,0,,,0
document-003,3,1486,eos_token:151645,22,14,1136,1484,2
document-003,4,2048,max_length,2,1,1997,1998,2
document-003,5,369,eos_token:151643,0,0,,,0
document-003,6,2048,max_length,0,0,,,0
document-003,7,2048,max_length,0,0,,,0
document-003,8,2048,max_length,0,0,,,0
document-003,9,2048,max_length,0,0,,,0
document-003,10,2048,max_length,14,14,884,1985,1
document-003,11,2048,max_length,0,0,,,0
document-003,12,2048,max_length,0,0,,,0
document-003,13,120,eos_token:151643,0,0,,,0
document-003,14,2048,max_length,0,0,,,0
document-003,15,2048,max_length,0,0,,,0
document-004,0,260,eos_token:151643,1,1,155,155,1
document-004,1,2048,max_length,348,1,1701,2048,348
document-004,2,393,eos_token:151645,0,0,,,0
document-004,3,2048,max_length,0,0,,,0
document-004,4,2048,max_length,8,8,637,1858,1
document-004,5,2048,max_length,0,0,,,0
document-004,6,2048,max_length,3,3,1523,1752,1
document-004,7,2048,max_length,1,1,1919,1919,1
document-004,8,2048,max_length,837,1,1212,2048,837
document-004,9,2048,max_length,1349,1,700,2048,1349
document-004,10,2048,max_length,0,0,,,0
document-004,11,2048,max_length,0,0,,,0
document-004,12,2048,max_length,1,1,76,76,1
document-004,13,2048,max_length,1656,1,393,2048,1656
document-004,14,2048,max_length,1642,1,407,2048,1642
document-004,15,2048,max_length,5,5,670,1730,1
document-005,0,2048,max_length,0,0,,,0
document-005,1,2048,max_length,0,0,,,0
document-005,2,2048,max_length,0,0,,,0
document-005,3,2048,max_length,0,0,,,0
document-005,4,2048,max_length,0,0,,,0
document-005,5,2048,max_length,0,0,,,0
document-005,6,2048,max_length,0,0,,,0
document-005,7,1984,eos_token:151645,0,0,,,0
document-005,8,957,eos_token:151645,0,0,,,0
document-005,9,2048,max_length,381,15,1410,2048,367
document-005,10,2048,max_length,1,1,609,609,1
document-005,11,753,eos_token:151645,3,2,354,751,2
document-005,12,2048,max_length,0,0,,,0
