scope,context_id,segment_count,rollouts,percentage
context,document-001,0,5,31.25
context,document-001,1,3,18.75
context,document-001,2,4,25.0
context,document-001,3,3,18.75
context,document-001,6,1,6.25
context,document-002,0,8,50.0
context,document-002,1,4,25.0
context,document-002,2,2,12.5
context,document-002,3,1,6.25
context,document-002,9,1,6.25
context,document-003,0,12,75.0
context,document-003,1,1,6.25
context,document-003,6,1,6.25
context,document-003,14,2,12.5
context,document-004,0,5,31.25
context,document-004,1,8,50.0
context,document-004,3,1,6.25
context,document-004,5,1,6.25
context,document-004,8,1,6.25
context,document-005,0,11,68.75
context,document-005,1,1,6.25
context,document-005,2,2,12.5
context,document-005,15,1,6.25
context,document-005,28,1,6.25
context,document-006,0,10,62.5
context,document-006,1,3,18.75
context,document-006,3,1,6.25
context,document-006,7,1,6.25
context,document-006,17,1,6.25
context,document-007,0,9,56.25
context,document-007,1,6,37.5
context,document-007,21,1,6.25
context,document-008,0,4,25.0
context,document-008,1,4,25.0
context,document-008,2,1,6.25
context,document-008,3,4,25.0
context,document-008,5,1,6.25
context,document-008,13,1,6.25
context,document-008,14,1,6.25
context,document-009,0,13,81.25
context,document-009,1,2,12.5
context,document-009,4,1,6.25
context,document-010,0,15,93.75
context,document-010,2,1,6.25
context,document-011,0,12,75.0
context,document-011,1,3,18.75
context,document-011,4,1,6.25
context,document-012,0,5,31.25
context,document-012,1,10,62.5
context,document-012,7,1,6.25
context,document-013,0,9,56.25
context,document-013,1,6,37.5
context,document-013,2,1,6.25
context,document-014,0,9,56.25
context,document-014,1,7,43.75
context,document-015,0,4,25.0
context,document-015,1,9,56.25
context,document-015,2,2,12.5
context,document-015,3,1,6.25
context,document-016,0,14,87.5
context,document-016,1,1,6.25
context,document-016,3,1,6.25
context,document-017,0,11,68.75
context,document-017,1,4,25.0
context,document-017,2,1,6.25
context,document-018,0,10,62.5
context,document-018,1,3,18.75
context,document-018,2,1,6.25
context,document-018,3,1,6.25
context,document-018,4,1,6.25
context,document-019,0,7,43.75
context,document-019,1,2,12.5
