context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
document-001,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-001,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-001,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-001,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-001,512,16,16,0,16,0,100.0,80.63923194655636,100.0
document-001,1024,16,15,1,15,0,100.0,79.61166989641515,100.0
document-001,2048,16,13,3,10,3,76.92307692307692,49.7436240532725,91.82047128150143
document-002,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-002,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-002,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-002,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-002,512,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-002,1024,16,15,1,14,1,93.33333333333333,70.18347012621999,98.81331045067316
document-002,2048,16,14,2,11,3,78.57142857142857,52.410769413399706,92.42861328730683
document-003,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-003,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-003,128,16,15,1,15,0,100.0,79.61166989641515,100.0
document-003,256,16,15,1,15,0,100.0,79.61166989641515,100.0
document-003,512,16,14,2,14,0,100.0,78.46891972623644,100.0
document-003,1024,16,14,2,14,0,100.0,78.46891972623644,100.0
document-003,2048,16,12,4,12,0,100.0,75.75059933447592,100.0
document-004,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-004,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-004,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-004,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-004,512,16,14,2,12,2,85.71428571428571,60.058620503029644,95.9906078728535
document-004,1024,16,14,2,11,3,78.57142857142857,52.410769413399706,92.42861328730683
document-004,2048,16,14,2,9,5,64.28571428571429,38.7644231039074,83.65526824644587
document-005,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-005,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-005,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-005,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-005,512,16,16,0,16,0,100.0,80.63923194655636,100.0
document-005,1024,16,14,2,14,0,100.0,78.46891972623644,100.0
document-005,2048,16,12,4,11,1,91.66666666666667,64.6120088858883,98.51349055950828
document-006,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-006,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-006,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-006,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-006,512,16,15,1,15,0,100.0,79.61166989641515,100.0
document-006,1024,16,13,3,11,2,84.61538461538461,57.76536898051745,95.67418216419186
document-006,2048,16,8,8,6,2,75.0,40.92754303101688,92.8520787247891
document-007,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-007,64,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-007,128,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-007,256,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-007,512,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-007,1024,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-007,2048,16,14,2,9,5,64.28571428571429,38.7644231039074,83.65526824644587
document-008,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-008,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-008,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-008,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-008,512,16,16,0,16,0,100.0,80.63923194655636,100.0
document-008,1024,16,15,1,15,0,100.0,79.61166989641515,100.0
document-008,2048,16,11,5,10,1,90.9090909090909,62.26415635484043,98.37678271141151
document-009,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,512,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,1024,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,2048,16,15,1,13,2,86.66666666666667,62.11801716767764,96.26387408969346
document-010,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,512,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,1024,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,2048,16,14,2,14,0,100.0,78.46891972623644,100.0
document-011,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-011,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-011,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-011,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-011,512,16,15,1,13,2,86.66666666666667,62.11801716767764,96.26387408969346
document-011,1024,16,15,1,13,2,86.66666666666667,62.11801716767764,96.26387408969346
document-011,2048,16,15,1,12,3,80.0,54.81455128483065,92.95245065301843
document-012,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-012,64,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-012,128,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-012,256,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-012,512,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-012,1024,16,14,2,9,5,64.28571428571429,38.7644231039074,83.65526824644587
document-012,2048,16,10,6,4,6,40.0,16.818032970623616,68.73262302663417
document-013,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-013,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-013,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-013,256,16,15,1,15,0,100.0,79.61166989641515,100.0
document-013,512,16,14,2,14,0,100.0,78.46891972623644,100.0
document-013,1024,16,13,3,12,1,92.3076923076923,66.68604907890041,98.62895787574435
document-013,2048,16,8,8,6,2,75.0,40.92754303101688,92.8520787247891
document-014,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-014,64,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-014,128,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-014,256,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-014,512,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-014,1024,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-014,2048,16,13,3,9,4,69.23076923076923,42.36934318054904,87.31929634428948
document-015,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-015,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-015,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-015,256,16,16,0,16,0,100.0,80.63923194655636,100.0
document-015,512,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
