model_alias,condition,horizon,landmark,surviving_rollouts,at_risk_rollouts,excluded_noncanonical_at_landmark,eligible_contexts,informative_contexts,prior_and_future,prior_only,future_only,neither,pooled_future_probability_given_prior,pooled_future_probability_given_no_prior,pooled_future_risk_difference,common_odds_ratio,test_name,test_statistic,p_value,log10_p_value,multiplicity_p_value,multiplicity_log10_p_value,by_q_value,log10_by_q_value
gemma3-4b-it,unconditional,128,64,62,59,3,1,0,0,0,0,59,,0.0,,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,unconditional,256,128,57,54,3,1,0,0,0,0,54,,0.0,,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,unconditional,512,256,46,43,3,1,0,0,0,0,43,,0.0,,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,unconditional,1024,512,13,12,1,1,0,0,0,0,12,,0.0,,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,unconditional,2048,1024,0,0,0,0,0,0,0,0,0,,,,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,wikitext,128,64,1573,1556,17,100,0,0,1,19,1536,0.0,0.012218649517684888,-0.012218649517684888,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,wikitext,256,128,1437,1405,32,100,0,0,0,54,1351,,0.038434163701067614,,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,wikitext,512,256,937,889,48,98,0,0,1,59,829,0.0,0.06644144144144144,-0.06644144144144144,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,wikitext,1024,512,274,249,25,84,1,0,2,27,220,0.0,0.10931174089068826,-0.10931174089068826,0.0,exact_stratified_conditional,,1.0,0.0,1.0,0.0,1.0,0.0
gemma3-4b-it,wikitext,2048,1024,67,58,9,43,0,0,0,2,56,,0.034482758620689655,,,,,,,1.0,0.0,1.0,0.0
qwen3-30b-a3b-instruct-2507,unconditional,128,64,44,35,9,1,1,4,4,3,24,0.5,0.1111111111111111,0.3888888888888889,8.0,fisher_exact,,0.03348491788261464,-1.4751507617769597,0.03348491788261464,-1.4751507617769597,0.6847978240499183,-0.16443762830259526
qwen3-30b-a3b-instruct-2507,unconditional,256,128,42,33,9,1,1,8,2,3,20,0.8,0.13043478260869565,0.6695652173913044,26.666666666666668,fisher_exact,,0.0004249736174096572,-3.371638030347454,0.0004249736174096572,-3.371638030347454,0.0318673928016449,-1.496653466434527
qwen3-30b-a3b-instruct-2507,unconditional,512,256,41,32,9,1,1,6,6,3,17,0.5,0.15,0.35,5.666666666666667,fisher_exact,,0.04926841790023068,-1.3074313834980054,0.04926841790023068,-1.3074313834980054,0.8525720339529332,-0.0692689171722525
qwen3-30b-a3b-instruct-2507,unconditional,1024,512,36,28,8,1,1,8,4,2,14,0.6666666666666666,0.125,0.5416666666666666,14.0,fisher_exact,,0.005409845684445233,-2.266815122943291,0.005409845684445233,-2.266815122943291,0.20283338819161978,-0.692860554694345
qwen3-30b-a3b-instruct-2507,unconditional,2048,1024,31,20,11,1,1,4,3,6,7,0.5714285714285714,0.46153846153846156,0.10989010989010983,1.5555555555555556,fisher_exact,,1.0,0.0,1.0,0.0,1.0,0.0
